,OperatingExpenses,NetIncomeLoss,AssetsCurrent
March 2016,7185.0,-27128.0,
June 2016,9210.0,-29925.0,
September 2016,7063.0,-28801.0,
December 2016,8431.0,-31138.0,10022.0
March 2017,12078.0,-35204.0,7342.0
June 2017,17522.0,-42475.0,13334.0
September 2017,7216.0,-33248.0,6134.0
December 2017,8463.0,-35824.0,32142.0
March 2018,12491.0,-40572.0,19495.0
June 2018,16487.0,-45721.0,2915.0
September 2018,9057.0,-39767.0,9486.0
