,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
September 2020,760000.0,27000.0,-389000.0,,,
December 2020,777000.0,34000.0,-157000.0,,,
March 2021,708000.0,42000.0,-164000.0,,,
June 2021,1005000.0,49000.0,65000.0,5719000.0,3343000.0,2376000.0
September 2021,1261000.0,54000.0,-576000.0,15702000.0,14480000.0,1222000.0
December 2021,1538000.0,65000.0,-644000.0,15058000.0,13859000.0,1199000.0
March 2022,1498000.0,53000.0,593000.0,16412000.0,14875000.0,1537000.0
June 2022,1926000.0,66000.0,-718000.0,14851000.0,13362000.0,1489000.0
