,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
June 2010,,1274470.0,1435137.0,,
September 2010,,1264251.0,1784431.0,,
December 2010,,1160888.0,1733494.0,,
March 2011,,1552001.0,3202575.0,69584131.0,54562344.0
June 2011,,1419819.0,1831411.0,72898816.0,58155909.0
September 2011,,1426427.0,2314908.0,72675600.0,58331025.0
December 2011,,1244548.0,1799249.0,74742619.0,60743411.0
March 2012,,1400943.0,2204896.0,78570393.0,65007891.0
June 2012,,1559836.0,2091854.0,73521306.0,60345404.0
September 2012,,1322549.0,1644329.0,76281931.0,63496207.0
December 2012,,1183507.0,1150058.0,69725192.0,57033046.0
March 2013,,1249079.0,1249571.0,76575129.0,64283557.0
June 2013,,1304900.0,808359.0,69951666.0,58086905.0
September 2013,,1045656.0,27659.0,72926473.0,61364682.0
December 2013,,1121986.0,487468.0,71632791.0,60294922.0
March 2014,,1115245.0,389440.0,72284399.0,59846668.0
June 2014,,1134576.0,-118250.0,70368073.0,57837429.0
September 2014,,1296852.0,765655.0,71201761.0,55694511.0
December 2014,,976330.0,187643.0,78910278.0,63061836.0
March 2015,,1045534.0,-452718.0,66958024.0,50117355.0
June 2015,,1353456.0,525949.0,66893687.0,49664066.0
September 2015,,1212836.0,-193294.0,66981946.0,49712648.0
December 2015,,1099682.0,485120.0,69681139.0,52661472.0
March 2016,,1004299.0,-523775.0,66890397.0,49701656.0
June 2016,,1092750.0,-1461219.0,65867022.0,48050348.0
September 2016,,915829.0,-603882.0,64662854.0,46652420.0
December 2016,,957305.0,-236625.0,63580354.0,45601120.0
March 2017,,1052315.0,-376958.0,63263297.0,45432836.0
June 2017,,1038394.0,364330.0,69003232.0,51595779.0
September 2017,,924525.0,310039.0,69369957.0,52438252.0
December 2017,,999220.0,161271.0,71946823.0,55957995.0
March 2018,,1219518.0,2155816.0,86601982.0,59979304.0
June 2018,,1492740.0,3599893.0,95900901.0,81681098.0
September 2018,,1289438.0,2000916.0,90720692.0,76833781.0
December 2018,,1054100.0,664773.0,93859735.0,79882115.0
March 2019,,946232.0,-1165658.0,86601982.0,74456207.0
June 2019,627000.0,1208388.0,194772.0,83504005.0,70930060.0
September 2019,614000.0,1253849.0,-1544137.0,81927595.0,69359042.0
December 2019,587000.0,1200393.0,-881003.0,84229802.0,69291512.0
March 2020,,1461942.0,-3018842.0,77344088.0,65211517.0
June 2020,735000.0,1391754.0,-858862.0,71248119.0,57966934.0
September 2020,718000.0,1401888.0,-250005.0,73048145.0,58444158.0
December 2020,736000.0,1725143.0,2129745.0,79369221.0,64237668.0
March 2021,,3316399.0,10403597.0,95008809.0,77534635.0
June 2021,1876000.0,3350110.0,11311797.0,155566855.0,131052701.0
September 2021,1866000.0,5290055.0,13177614.0,137822506.0,111655044.0
December 2021,920000.0,1994242.0,-2961833.0,150440012.0,121851033.0
March 2022,,1832959.0,-7461256.0,159275070.0,125361815.0
June 2022,,6352792.0,11184374.0,262059616.0,208971608.0
