,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2017,6073750.0,-7227250.0,,,
June 2017,6073750.0,-7227250.0,,,
September 2017,6073750.0,-7227250.0,,,
December 2017,6073750.0,-7227250.0,64549000.0,56343000.0,8206000.0
March 2018,8880000.0,-10729000.0,,,
June 2018,8400000.0,-11033000.0,,,
September 2018,7809000.0,-9178000.0,,,
December 2018,10313000.0,-12603000.0,61510000.0,43565000.0,17945000.0
March 2019,8542000.0,-10656000.0,56615000.0,34939000.0,21676000.0
June 2019,7860000.0,-10009000.0,46860000.0,24630000.0,22230000.0
September 2019,8448000.0,-20378000.0,30781000.0,18186000.0,12595000.0
December 2019,1809000.0,-6556000.0,21280000.0,13745000.0,7535000.0
March 2020,2024000.0,-3870000.0,20636000.0,13530000.0,7106000.0
June 2020,1275000.0,-2947000.0,21783000.0,15106000.0,6677000.0
September 2020,2112000.0,-3740000.0,24036000.0,17685000.0,6351000.0
December 2020,1329000.0,-3571000.0,20896000.0,14968000.0,5928000.0
March 2021,2157000.0,-4229000.0,17430000.0,12159000.0,5271000.0
