,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2019,,0.0,,,
June 2019,,0.0,,,
September 2019,,0.0,,,
December 2019,,-9039.0,119621.0,15961.0,
March 2020,0.0,-58999.0,622097.0,16865.0,
June 2020,0.0,-285630.0,302540267.0,2498499.0,
September 2020,,-6786000.0,302000265.0,1935741.0,
December 2020,,4196221.0,54685000.0,10225000.0,44460000.0
March 2021,418000.0,31869620.0,301443357.0,1369713.0,
June 2021,418400.0,-17175554.0,300505305.0,427101.0,
September 2021,,-36651000.0,157316000.0,112779000.0,44537000.0
December 2021,,-119342066.0,133125000.0,88559000.0,44566000.0
March 2022,,-21117000.0,116718000.0,72089000.0,44629000.0
