,OperatingExpenses,Assets
June 2011,35666.666666666664,
September 2011,35666.666666666664,
December 2011,35666.666666666664,
March 2012,1005000.0,
June 2012,1005000.0,
September 2012,3658000.0,
December 2012,9108000.0,921458000.0
March 2013,13438000.0,
June 2013,28928000.0,
September 2013,52886000.0,3885261000.0
December 2013,70932000.0,4224144000.0
March 2014,81000000.0,4524033000.0
June 2014,92588000.0,4982557000.0
September 2014,125027000.0,5536344000.0
December 2014,122074000.0,6227351000.0
March 2015,141971000.0,6576550000.0
June 2015,164749000.0,6686962000.0
September 2015,189026000.0,6965816000.0
December 2015,180048000.0,6751219000.0
March 2016,201328000.0,8097710000.0
June 2016,224575000.0,8252400000.0
September 2016,232008000.0,8086499000.0
December 2016,216136000.0,8107210000.0
March 2017,218574000.0,8490605000.0
June 2017,216201000.0,8146307000.0
September 2017,238025000.0,8509876000.0
December 2017,214219000.0,8608768000.0
March 2018,239947000.0,8958033000.0
June 2018,240378000.0,8830448000.0
September 2018,254724000.0,8971426000.0
December 2018,243079000.0,9001481000.0
March 2019,251762000.0,9191038000.0
June 2019,254622000.0,9142623000.0
September 2019,270424000.0,9140121000.0
December 2019,253524000.0,9100109000.0
March 2020,262832000.0,9201365000.0
June 2020,261942000.0,9271774000.0
September 2020,283078000.0,9600363000.0
December 2020,264349000.0,9593625000.0
March 2021,280520000.0,9686701000.0
June 2021,273400000.0,9968726000.0
September 2021,300773000.0,10505367000.0
December 2021,292311000.0,10962433000.0
March 2022,310454000.0,11441385000.0
June 2022,323759000.0,11854752000.0
