,OperatingExpenses,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2009,,7844250.0,,
June 2009,,7844250.0,,
September 2009,,7844250.0,,
December 2009,,7844250.0,,
March 2010,,7099000.0,,
June 2010,,8942000.0,,
September 2010,,7631000.0,,
December 2010,,7457000.0,719727000.0,222247000.0
March 2011,,9306000.0,,
June 2011,,8866000.0,755398000.0,220068000.0
September 2011,,8720000.0,783158000.0,233722000.0
December 2011,,14373000.0,1124354000.0,251938000.0
March 2012,,17572000.0,1139882000.0,272560000.0
June 2012,,17436000.0,1124799000.0,259823000.0
September 2012,,16039000.0,1148115000.0,289665000.0
December 2012,,19008000.0,1131167000.0,267324000.0
March 2013,,19128000.0,1139900000.0,276784000.0
June 2013,,21072000.0,1142221000.0,281023000.0
September 2013,,37538000.0,2657197000.0,498349000.0
December 2013,,32874000.0,2651862000.0,480500000.0
March 2014,,34145000.0,2694020000.0,517949000.0
June 2014,,34093000.0,2735498000.0,555845000.0
September 2014,,34133000.0,2796247000.0,614150000.0
December 2014,,34638000.0,2556274000.0,515541000.0
March 2015,,38194000.0,2587675000.0,552080000.0
June 2015,,48481000.0,3305204000.0,824150000.0
September 2015,,63577000.0,3249935000.0,774418000.0
December 2015,,60592000.0,3222110000.0,754257000.0
March 2016,,60740000.0,3212666000.0,750750000.0
June 2016,,55554000.0,3236450000.0,782469000.0
September 2016,,56113000.0,3244068000.0,774728000.0
December 2016,,51720000.0,3255875000.0,768820000.0
March 2017,1300000.0,66485000.0,3322819000.0,802910000.0
June 2017,1000000.0,67313000.0,3372572000.0,839996000.0
September 2017,1000000.0,62767000.0,3367277000.0,843965000.0
December 2017,1100000.0,68566000.0,3323985000.0,827861000.0
March 2018,,63611000.0,3335589000.0,832608000.0
June 2018,,67494000.0,3388143000.0,894068000.0
September 2018,,61721000.0,3373527000.0,894265000.0
