,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
December 2008,3490128.25,1328251.75,2161876.5,,
March 2009,3490128.25,1328251.75,2161876.5,,
June 2009,3490128.25,1328251.75,2161876.5,,
September 2009,3490128.25,1328251.75,2161876.5,,
December 2009,3298437.5,1284705.0,2013732.5,,
March 2010,3298437.5,1284705.0,2013732.5,,
June 2010,3213283.0,1274872.0,1938411.0,,
September 2010,3523669.0,1389958.0,2133711.0,57590522.0,49607834.0
December 2010,3442956.0,1353607.0,2089349.0,,
March 2011,3405970.0,1556827.0,1849143.0,,
June 2011,3264469.0,1408794.0,1855675.0,58891465.0,51090569.0
September 2011,3071166.0,1181696.0,1889470.0,58257604.0,50572834.0
December 2011,2783798.0,790223.0,1993575.0,58533881.0,50904270.0
March 2012,2754173.0,926379.0,1827794.0,60439328.0,52941398.0
June 2012,2260463.0,416210.0,1844253.0,58644301.0,51211642.0
September 2012,2295319.0,560742.0,1734577.0,62597231.0,54377366.0
December 2012,2655661.0,850852.0,1804809.0,38082367.0,30087512.0
March 2013,2740557.0,805126.0,1935431.0,40372443.0,32543570.0
June 2013,3159956.0,559297.0,2600659.0,41610864.0,33386033.0
September 2013,2140931.0,362759.0,1778172.0,42630511.0,34437485.0
December 2013,2371812.0,626921.0,1744891.0,43472163.0,35688151.0
March 2014,2695485.0,660876.0,2034609.0,46367621.0,38476909.0
June 2014,2502226.0,647894.0,1854332.0,46567511.0,38855197.0
September 2014,6159545.0,682363.0,5477182.0,44162510.0,36526292.0
December 2014,2595490.0,654999.0,1940491.0,42883120.0,34634839.0
March 2015,2221361.0,647473.0,1573888.0,41726772.0,33185676.0
June 2015,2196505.0,799340.0,1397165.0,37600314.0,30205732.0
September 2015,3539122.0,603396.0,2935726.0,36613753.0,29349475.0
December 2015,3624544.0,931600.0,2692944.0,37908821.0,30692246.0
March 2016,3930231.0,1337616.0,2592615.0,38604740.0,31497178.0
June 2016,3651232.0,1405158.0,2246074.0,38037462.0,30865876.0
September 2016,2838186.0,1198954.0,1639232.0,36488969.0,29369459.0
December 2016,3133109.0,1085988.0,2047121.0,36031737.0,28973223.0
March 2017,-634447.0,1069009.0,564037.6666666666,41618883.0,34640813.0
June 2017,2918470.0,1236184.0,564037.6666666666,41153475.0,34190304.0
September 2017,2778759.0,1065476.0,564037.6666666666,41037764.0,34181438.0
December 2017,2546276.0,923721.0,1622555.0,39659575.0,32823339.0
March 2018,2788368.0,1031622.0,1756746.0,38905098.0,32130590.0
June 2018,2654911.0,1028271.0,1626640.0,38334816.0,29260147.0
September 2018,2260433.0,592187.0,1668246.0,37633678.0,28664948.0
December 2018,2069788.0,596372.0,1473416.0,37379433.0,28487006.0
March 2019,2173139.0,648482.0,1524657.0,37800326.0,28994247.0
June 2019,2138578.0,722525.0,1416053.0,37759389.0,29057434.0
September 2019,1986221.0,522427.0,1463794.0,38557025.0,29958292.0
December 2019,2369889.0,666615.0,1703274.0,39115285.0,30494582.0
March 2020,2243408.0,712019.0,1531389.0,39908261.0,31394725.0
June 2020,2150227.0,870805.0,1279422.0,41096978.0,32665970.0
September 2020,2292997.0,706537.0,1586460.0,41545837.0,33120422.0
December 2020,2333452.0,600298.0,1733154.0,21548148.0,13184388.0
March 2021,2291772.0,689654.0,1602118.0,22795906.0,14335430.0
June 2021,2158933.0,646795.0,1512138.0,27016964.0,17312730.0
September 2021,2096494.0,686172.0,1410322.0,27086000.0,17690411.0
December 2021,2543507.0,736525.0,1806982.0,28060790.0,18915162.0
March 2022,2374831.0,650031.0,1724800.0,29999260.0,21241824.0
June 2022,2370614.0,676381.0,1694233.0,31616068.0,24787622.0
