,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,2599181.5,110346.5,2547375.5,,,
June 2010,2599181.5,110346.5,2547375.5,,,
September 2010,5396756.0,259879.0,11106505.0,,,
December 2010,7425758.0,,6497187.0,175898554.0,151605492.0,24293062.0
March 2011,7076455.0,128982.0,-3953802.0,,,
June 2011,9750316.0,383885.0,-6418376.0,,,
September 2011,7846299.0,85200.0,-3997119.0,185147338.0,144415572.0,40731766.0
December 2011,18965080.0,1200933.0,-9590889.0,176978065.0,145580211.0,31397854.0
March 2012,9546867.0,50934.0,-6932465.0,172739334.0,140024526.0,32714808.0
June 2012,9309392.0,63956.0,-9252698.0,158967467.0,121201039.0,37766428.0
September 2012,5425266.0,155000.0,-1071360.0,164637022.0,132405828.0,32231194.0
December 2012,21076819.0,1260110.0,-11960559.0,156470287.0,126235211.0,30235076.0
March 2013,10036338.0,122437.0,-12823874.0,143510572.0,115566538.0,27944034.0
June 2013,11842406.0,115616.0,-9453227.0,136164718.0,108035644.0,28129074.0
September 2013,12952401.0,84595.0,-10015571.0,131837731.0,104029101.0,27808630.0
December 2013,9080338.0,-200211.0,-17376669.0,114814802.0,101733434.0,27720301.0
March 2014,1582527.0,157371.0,-9075945.0,109613792.0,81512978.0,28100814.0
June 2014,1731544.0,246546.0,3255049.0,120124900.0,101868104.0,18256796.0
September 2014,3893599.0,208811.0,-250246.0,102345703.0,99371818.0,2973885.0
December 2014,5929776.0,111182.0,-3496846.0,103198501.0,100388907.0,2809594.0
March 2015,1383306.0,0.0,-37802924.0,13069462.0,11434740.0,1634722.0
June 2015,1679926.0,0.0,-2207235.0,11531391.0,9965458.0,1565933.0
September 2015,244769.0,0.0,-967876.0,10193780.0,8737959.0,1455821.0
December 2015,521904.0,0.0,-2154667.0,8351429.0,7011679.0,1339750.0
March 2016,693212.0,0.0,-2779234.0,7072106.0,6083223.0,988883.0
June 2016,1511080.0,0.0,-1369269.0,6432105.0,5495519.0,936586.0
September 2016,144253.0,0.0,-2909625.0,3271048.0,2880144.0,390904.0
December 2016,-1134696.0,0.0,-1325418.0,3115027.0,2727532.0,387495.0
March 2017,1244.0,3.0,-146893.0,3101658.0,2714927.0,386731.0
June 2017,45991.0,0.0,-114329.0,3238274.0,2853881.0,384393.0
September 2017,1735208.0,0.0,-1501648.0,2015414.0,1999109.0,16305.0
December 2017,840813.0,-3.0,-1146555.0,7081148.0,863430.0,15639.0
March 2018,87274.0,0.0,70243.0,923209.0,907916.0,15293.0
June 2018,60002.0,0.0,-114438.0,728411.0,714788.0,13623.0
September 2018,56870.0,2132.0,169521.0,592176.0,579949.0,12227.0
December 2018,345611.0,42188.0,351369.0,6202703.0,2790796.0,3411907.0
March 2019,302875.0,89.0,-95686.0,6176601.0,2779107.0,3397494.0
June 2019,403696.0,0.0,-43590.0,5961252.0,2712025.0,3249227.0
September 2019,244907.0,465.0,5872984.0,5899550.0,2826146.0,3073404.0
December 2019,603870.0,-3.0,1374052.0,5666973.0,2627380.0,3039593.0
March 2020,343207.0,147.5,-230628.0,5827655.0,2894598.0,2933057.0
June 2020,356337.0,147.5,42734.0,6935695.0,3788103.0,3147592.0
September 2020,348544.0,147.5,-88035.0,7227687.0,4320948.0,2906739.0
December 2020,232497.0,147.5,46031.0,7587860.0,4545340.0,3042520.0
March 2021,297426.0,0.0,-115724.0,8205982.0,4598824.0,3607158.0
June 2021,280584.0,25276.0,303742.0,9322315.0,5050440.0,4271875.0
September 2021,3886211.0,68763.0,-3354604.0,5752902.0,2754931.0,2997971.0
December 2021,1287744.0,68763.0,-1026616.0,4643023.0,1579780.0,3063243.0
March 2022,308648.0,4631.0,-248023.0,4629706.0,1422951.0,3206755.0
June 2022,206011.0,23496.0,-119694.0,4573307.0,1366380.0,3206927.0
