,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2013,19127500.0,6887000.0,-199000.0,,
June 2013,19127500.0,6887000.0,-199000.0,,
September 2013,19127500.0,6887000.0,-199000.0,,
December 2013,19127500.0,6887000.0,-199000.0,,
March 2014,24723000.0,8042000.0,-463000.0,,
June 2014,28958000.0,8792000.0,-3151000.0,,
September 2014,32571000.0,10077000.0,-6271000.0,,
December 2014,41957000.0,9723000.0,-5358000.0,249135000.0,129993000.0
March 2015,42676000.0,10009000.0,-36586000.0,331362000.0,142288000.0
June 2015,43247000.0,10072000.0,-6354000.0,529128000.0,343357000.0
September 2015,43198000.0,11406000.0,-6891000.0,538621000.0,349314000.0
December 2015,49283000.0,11207000.0,-4232000.0,553061000.0,359054000.0
March 2016,47153000.0,12230000.0,1192000.0,549176000.0,340612000.0
June 2016,51582000.0,11840000.0,-7311000.0,550956000.0,346777000.0
September 2016,55575000.0,14897000.0,-2399000.0,569201000.0,353406000.0
December 2016,69752000.0,16116000.0,-21383000.0,581193000.0,371032000.0
March 2017,64333000.0,18116000.0,-421000.0,530739000.0,355240000.0
June 2017,77686000.0,21754000.0,11669000.0,554317000.0,376228000.0
September 2017,62572000.0,16958000.0,25802000.0,574062000.0,400383000.0
December 2017,73758000.0,17788000.0,44750000.0,605583000.0,439264000.0
March 2018,65819000.0,20721000.0,12967000.0,870165000.0,704997000.0
June 2018,74216000.0,23568000.0,3379000.0,865310000.0,666233000.0
September 2018,84682000.0,24418000.0,19894000.0,907368000.0,707949000.0
December 2018,113428000.0,28542000.0,41251000.0,901851000.0,680289000.0
March 2019,85038000.0,24947000.0,31579000.0,981168000.0,724001000.0
June 2019,104642000.0,28765000.0,18223000.0,1021775000.0,743653000.0
September 2019,114766000.0,32465000.0,14801000.0,1499198000.0,945840000.0
December 2019,154136000.0,35701000.0,31291000.0,1542352000.0,921038000.0
March 2020,120274000.0,37782000.0,12522000.0,1517642000.0,906952000.0
June 2020,198216000.0,45233000.0,96425000.0,1762031000.0,1194335000.0
September 2020,213141000.0,45908000.0,91761000.0,2214505000.0,1697831000.0
December 2020,305240000.0,51157000.0,148538000.0,2404489000.0,1894781000.0
March 2021,257092000.0,53706000.0,143766000.0,2497411000.0,1893619000.0
June 2021,290826000.0,61753000.0,98254000.0,3290416000.0,2690980000.0
September 2021,295028000.0,73521000.0,89930000.0,3502138000.0,1077334000.0
December 2021,365924000.0,82555000.0,161557000.0,3831809000.0,1341501000.0
March 2022,321956000.0,89476000.0,86109000.0,3745175000.0,1295137000.0
June 2022,341153000.0,102095000.0,73123000.0,3607100000.0,1320222000.0
