,NetIncomeLoss,Assets
March 2017,15025000.0,4174428000.0
June 2017,15025000.0,6440631000.0
September 2017,15025000.0,6532334000.0
December 2017,15025000.0,8024501000.0
March 2018,28002000.0,8086816000.0
June 2018,27303000.0,8158131000.0
September 2018,28392000.0,11503881000.0
December 2018,39643000.0,11487387000.0
March 2019,38718000.0,11580495000.0
June 2019,38527000.0,11783781000.0
September 2019,41375000.0,11811497000.0
December 2019,41098000.0,11776012000.0
March 2020,25740000.0,11976209000.0
June 2020,-99091000.0,20517074000.0
September 2020,66566000.0,19844240000.0
December 2020,67136000.0,19736544000.0
March 2021,68668000.0,20173298000.0
June 2021,96302000.0,20529486000.0
September 2021,90088000.0,21005211000.0
December 2021,84831000.0,21094429000.0
March 2022,66904000.0,21622296000.0
June 2022,69803000.0,21993919000.0
