,OperatingExpenses,Assets,AssetsCurrent,AssetsNoncurrent
March 2011,,,,
June 2011,,1090543000.0,80342000.0,373601000.0
September 2011,,1092934000.0,82058000.0,372638000.0
December 2011,,1119471000.0,79137000.0,394987000.0
March 2012,,1111363000.0,70202000.0,395343000.0
June 2012,,1118789000.0,71382000.0,395874000.0
September 2012,,,,
December 2012,,1334862000.0,92665000.0,560222000.0
March 2013,35598000.0,1305961000.0,61207000.0,559779000.0
June 2013,38100000.0,1313985000.0,60694000.0,558877000.0
September 2013,,1339979000.0,59158000.0,557839000.0
December 2013,,1377583000.0,80595000.0,530173000.0
March 2014,35349000.0,1365991000.0,64433000.0,530792000.0
June 2014,39298000.0,1477735000.0,161611000.0,539753000.0
