,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2009,2304000.0,5839250.0,,
June 2009,2304000.0,5839250.0,,
September 2009,2304000.0,5839250.0,,
December 2009,2304000.0,5839250.0,,
March 2010,2859000.0,1132000.0,,
June 2010,2700000.0,6096000.0,,
September 2010,2915000.0,9879000.0,,
December 2010,3566000.0,6006000.0,280979000.0,167342000.0
March 2011,3362000.0,6998000.0,,
June 2011,3215000.0,8386000.0,321296000.0,200811000.0
September 2011,3239000.0,6660000.0,312235000.0,196087000.0
December 2011,3544000.0,8940000.0,327348000.0,205490000.0
March 2012,3655000.0,8133000.0,348988000.0,210071000.0
June 2012,3747000.0,6596000.0,342958000.0,209585000.0
September 2012,3893000.0,9284000.0,344068000.0,207736000.0
December 2012,-9195000.0,5273000.0,333064000.0,194101000.0
March 2013,3770000.0,4965000.0,342757000.0,199183000.0
June 2013,3571000.0,6386000.0,335021000.0,195739000.0
September 2013,3714000.0,6104000.0,345042000.0,198691000.0
December 2013,-8755000.0,3132000.0,332406000.0,185734000.0
March 2014,3775000.0,2738000.0,358584000.0,196300000.0
June 2014,4183000.0,5080000.0,367933000.0,204096000.0
September 2014,4399000.0,2555000.0,362114000.0,204713000.0
December 2014,-9657000.0,2488000.0,353967000.0,200663000.0
March 2015,725000.0,-256000.0,337869000.0,191207000.0
June 2015,725000.0,3680000.0,345044000.0,200475000.0
September 2015,725000.0,206000.0,331721000.0,193505000.0
December 2015,725000.0,3045000.0,324573000.0,188497000.0
March 2016,675000.0,2658000.0,330770000.0,182264000.0
June 2016,675000.0,2755000.0,342245000.0,182631000.0
September 2016,675000.0,4742000.0,352618000.0,192225000.0
December 2016,675000.0,5100000.0,340937000.0,189107000.0
March 2017,525000.0,1518000.0,350540000.0,196009000.0
June 2017,525000.0,4156000.0,351571000.0,195516000.0
September 2017,525000.0,6278000.0,362625000.0,206772000.0
December 2017,525000.0,702000.0,359785000.0,207130000.0
March 2018,600000.0,5528000.0,375961000.0,217775000.0
June 2018,600000.0,6735000.0,364080000.0,214419000.0
September 2018,600000.0,9054000.0,363969000.0,215910000.0
December 2018,600000.0,5264000.0,358797000.0,214263000.0
March 2019,750000.0,1824000.0,387128000.0,220948000.0
June 2019,750000.0,7904000.0,425153000.0,237221000.0
September 2019,750000.0,7951000.0,425004000.0,232914000.0
December 2019,750000.0,5624000.0,433571000.0,231975000.0
March 2020,700000.0,3698000.0,413257000.0,222483000.0
June 2020,700000.0,10481000.0,436266000.0,238221000.0
September 2020,700000.0,12954000.0,452041000.0,245922000.0
December 2020,700000.0,2670000.0,461087000.0,256314000.0
March 2021,825000.0,7179000.0,457003000.0,240038000.0
June 2021,825000.0,8869000.0,483409000.0,258602000.0
September 2021,825000.0,10708000.0,493593000.0,271403000.0
December 2021,825000.0,8973000.0,489018000.0,272111000.0
