,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
December 2001,0.0,0.0,,
March 2002,0.0,0.0,,
June 2002,0.0,0.0,,
September 2002,0.0,0.0,,
December 2002,0.0,0.0,,
March 2003,0.0,-207745.25,,
June 2003,0.0,-207745.25,,
September 2003,0.0,-207745.25,,
December 2003,0.0,-207745.25,,
March 2004,0.0,-380877.25,,
June 2004,0.0,-380877.25,,
September 2004,0.0,-380877.25,,
December 2004,0.0,-380877.25,,
March 2005,0.0,-660738.5,,
June 2005,0.0,-660738.5,,
September 2005,0.0,-660738.5,,
December 2005,0.0,-660738.5,,
March 2006,0.0,-546210.75,,
June 2006,0.0,-546210.75,,
September 2006,0.0,-546210.75,,
December 2006,0.0,-546210.75,,
March 2007,0.0,-980454.25,,
June 2007,0.0,-980454.25,,
September 2007,0.0,-980454.25,,
December 2007,0.0,-980454.25,,
March 2008,0.0,-793977.0,,
June 2008,0.0,-793977.0,,
September 2008,0.0,-793977.0,,
December 2008,0.0,-793977.0,,
March 2009,0.0,-1620001.25,,
June 2009,0.0,-1620001.25,,
September 2009,0.0,-1620001.25,,
December 2009,0.0,-1620001.25,,
March 2010,41700.5,-240276.5,,
June 2010,41700.5,-240276.5,,
September 2010,41700.5,270423.0,,
December 2010,41700.5,-2036150.0,7309065.0,3878510.0
March 2011,88071.0,-3526347.0,,
June 2011,88433.0,-1232734.0,,
September 2011,0.0,-2665026.0,6323737.0,3005955.0
December 2011,100256.0,-1430747.0,5341349.0,2127174.0
March 2012,102975.0,-2859718.0,3936750.0,759588.0
June 2012,204599.0,-2215877.0,4260032.0,1137769.0
September 2012,0.0,-1850856.0,5570512.0,2556327.0
December 2012,0.0,-1513908.0,4217334.0,1285342.0
March 2013,167817.0,-1340627.0,5832601.0,2991969.0
June 2013,83884.0,-991816.0,4621851.0,1873277.0
September 2013,-513.0,-992164.0,3733645.0,1076679.0
December 2013,84000.0,-1169210.0,4803748.0,2168318.0
March 2014,8197.0,-1414403.0,3487758.0,942936.0
June 2014,0.0,-1167308.0,4270675.0,1818397.0
September 2014,0.0,-1928546.0,4951515.0,2501667.0
December 2014,0.0,-3240814.0,1994870.0,1064905.0
March 2015,0.0,-1182514.0,1336322.0,426989.0
June 2015,0.0,-1408060.0,3007232.0,2117640.0
September 2015,0.0,-821362.0,2334213.0,1464117.0
December 2015,0.0,-707845.0,1534371.0,596005.0
