,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2011,487250.0,564000.0,
June 2011,487250.0,443000.0,
September 2011,487250.0,225000.0,
December 2011,487250.0,313000.0,283793000.0
March 2012,507000.0,277000.0,300834000.0
June 2012,624000.0,621000.0,340911000.0
September 2012,630000.0,3325000.0,341213000.0
December 2012,769000.0,1072000.0,359030000.0
March 2013,758000.0,1235000.0,371571000.0
June 2013,759000.0,1086000.0,378862000.0
September 2013,752000.0,1062000.0,396066000.0
December 2013,757000.0,537000.0,419187000.0
March 2014,546000.0,875000.0,433196000.0
June 2014,926000.0,986000.0,436021000.0
September 2014,932000.0,1146000.0,471602000.0
December 2014,1075000.0,1533000.0,509754000.0
March 2015,963000.0,2070000.0,541725000.0
June 2015,1128000.0,2794000.0,568589000.0
September 2015,1118000.0,1995000.0,641980000.0
December 2015,1167000.0,2017000.0,677561000.0
March 2016,1374000.0,1661000.0,805383000.0
June 2016,1396000.0,2835000.0,783920000.0
September 2016,1450000.0,3457000.0,827486000.0
December 2016,1780000.0,2546000.0,827926000.0
March 2017,1486000.0,2593000.0,877884000.0
June 2017,1443000.0,4359000.0,928582000.0
September 2017,1577000.0,3454000.0,993891000.0
December 2017,1699000.0,3679000.0,981783000.0
March 2018,1359000.0,4322000.0,1043612000.0
June 2018,1541000.0,4257000.0,1132542000.0
September 2018,1308000.0,4052000.0,1191331000.0
December 2018,2501000.0,11716000.0,1621644000.0
March 2019,2044000.0,5192000.0,1626116000.0
June 2019,2658000.0,4463000.0,1641065000.0
September 2019,2360000.0,7144000.0,1694997000.0
December 2019,2660000.0,5918000.0,1713056000.0
March 2020,2403000.0,5167000.0,1847168000.0
June 2020,2573000.0,10020000.0,2008756000.0
September 2020,2809000.0,12713000.0,2054626000.0
December 2020,2686000.0,11364000.0,2113241000.0
March 2021,2467000.0,11883000.0,2175586000.0
June 2021,2709000.0,8549000.0,2222613000.0
September 2021,2628000.0,8331000.0,2228694000.0
December 2021,2987000.0,8649000.0,2286391000.0
March 2022,2479000.0,6870000.0,2273933000.0
June 2022,2365000.0,6699000.0,2399239000.0
