,OperatingExpenses,Assets
March 2009,47986750.0,
June 2009,47986750.0,
September 2009,47986750.0,
December 2009,47986750.0,
March 2010,57701000.0,
June 2010,61701000.0,
September 2010,67797000.0,
December 2010,70639000.0,1457277000.0
March 2011,62492000.0,
June 2011,72853000.0,1599564000.0
September 2011,74447000.0,1594644000.0
December 2011,77930000.0,1630909000.0
March 2012,65264000.0,1598842000.0
June 2012,86953000.0,1668792000.0
September 2012,66020000.0,1701945000.0
December 2012,95668000.0,1707679000.0
March 2013,73174000.0,1718716000.0
June 2013,71703000.0,1832255000.0
September 2013,87512000.0,1831756000.0
December 2013,90820000.0,1748097000.0
March 2014,74326000.0,1718567000.0
June 2014,86033000.0,1893791000.0
September 2014,94965000.0,1885609000.0
December 2014,106232000.0,1855539000.0
March 2015,89071000.0,1854300000.0
June 2015,97024000.0,1904066000.0
September 2015,99996000.0,1922038000.0
December 2015,,1969772000.0
March 2016,,2088831000.0
June 2016,,2026495000.0
September 2016,,2016368000.0
December 2016,,2155536000.0
March 2017,,2124036000.0
June 2017,,2196168000.0
September 2017,,2185454000.0
December 2017,,2138336000.0
March 2018,,2158938000.0
June 2018,,2177720000.0
September 2018,,2166293000.0
December 2018,,2138630000.0
March 2019,,2165276000.0
June 2019,,2156474000.0
September 2019,,2139062000.0
December 2019,,2122428000.0
March 2020,,2098361000.0
June 2020,,2054560000.0
September 2020,,2025654000.0
December 2020,,1980988000.0
March 2021,,1897885000.0
June 2021,,1857734000.0
September 2021,,1848686000.0
December 2021,,1833144000.0
March 2022,,1824874000.0
June 2022,,1836647000.0
