,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2020,1438000.0,-8007000.0,,
June 2020,1244000.0,-9267000.0,,
September 2020,2224000.0,-8465000.0,,
December 2020,1625000.0,-11339000.0,69997000.0,62150000.0
March 2021,2147000.0,-22101000.0,,
June 2021,2337000.0,-11831000.0,129242000.0,118048000.0
September 2021,2441000.0,-24987000.0,254426000.0,244161000.0
December 2021,2856000.0,-14605000.0,241169000.0,218124000.0
March 2022,3525000.0,-14930000.0,230052000.0,186897000.0
June 2022,2965000.0,-13090000.0,216143000.0,171483000.0
