,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2009,18327750.0,2453500.0,-10866750.0,,
June 2009,18327750.0,2453500.0,-10866750.0,,
September 2009,18327750.0,2453500.0,-10866750.0,,
December 2009,18327750.0,2453500.0,-10866750.0,196978000.0,
March 2010,19401000.0,3035000.0,-8999000.0,,
June 2010,21042000.0,3202000.0,-8256000.0,,
September 2010,21395000.0,3132000.0,-8164000.0,,
December 2010,22753000.0,3531000.0,-6293000.0,286094000.0,155480000.0
March 2011,22667000.0,3717000.0,-6010000.0,,
June 2011,22849000.0,3589000.0,-5550000.0,291423000.0,158003000.0
September 2011,23251000.0,3388000.0,-5278000.0,293269000.0,157411000.0
December 2011,24342000.0,3743000.0,-4564000.0,291708000.0,154269000.0
March 2012,24971000.0,3897000.0,-5144000.0,295800000.0,157095000.0
June 2012,25680000.0,4250000.0,-5063000.0,302049000.0,157256000.0
September 2012,26094000.0,4274000.0,-2582000.0,307556000.0,159041000.0
December 2012,27269000.0,4690000.0,-2364000.0,311949000.0,161467000.0
March 2013,28536000.0,5108000.0,-4994000.0,306962000.0,163652000.0
June 2013,29358000.0,4366000.0,-3405000.0,312445000.0,159447000.0
September 2013,29941000.0,4450000.0,-4986000.0,304602000.0,147803000.0
December 2013,32466000.0,4963000.0,-5176000.0,306962000.0,146120000.0
March 2014,33723000.0,5134000.0,-5275000.0,312706000.0,146994000.0
June 2014,34181000.0,5708000.0,-7113000.0,312778000.0,141052000.0
September 2014,34861000.0,6182000.0,-6706000.0,309214000.0,134362000.0
December 2014,35325000.0,5611000.0,-4852000.0,309726000.0,129151000.0
March 2015,35705000.0,5874000.0,-5658000.0,304600000.0,126660000.0
June 2015,35980000.0,6622000.0,-5327000.0,301387000.0,124377000.0
September 2015,36353000.0,6752000.0,-1687000.0,306861000.0,131510000.0
December 2015,38062000.0,6989000.0,-2670000.0,306874000.0,128905000.0
March 2016,37492000.0,7154000.0,-1276000.0,310949000.0,131722000.0
June 2016,39603000.0,7961000.0,-1732000.0,313696000.0,135781000.0
September 2016,39157000.0,8278000.0,-166000.0,319111000.0,144150000.0
December 2016,40018000.0,7639000.0,-1597000.0,317207000.0,144899000.0
March 2017,42871000.0,9508000.0,-1189000.0,323776000.0,151228000.0
June 2017,43222000.0,9027000.0,-2089000.0,328568000.0,155466000.0
September 2017,48890000.0,11222000.0,-8445000.0,325354000.0,151931000.0
December 2017,47156000.0,9851000.0,-2269000.0,325629000.0,153374000.0
March 2018,47295000.0,9438000.0,-1459000.0,333955000.0,163221000.0
June 2018,47036000.0,10593000.0,-2589000.0,336836000.0,169421000.0
September 2018,45271000.0,9698000.0,881000.0,377449000.0,211243000.0
