,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
September 2009,46376250.0,16477750.0,-2155000.0,,
December 2009,46376250.0,16477750.0,-2155000.0,,
March 2010,46376250.0,16477750.0,-2155000.0,,
June 2010,46376250.0,16477750.0,-2155000.0,558492000.0,
September 2010,54262000.0,20284000.0,-272000.0,,
December 2010,59582000.0,23938000.0,1880000.0,,
March 2011,79625000.0,23201000.0,-16661000.0,,
June 2011,52678000.0,22423000.0,10958000.0,790421000.0,49940000.0
September 2011,61512000.0,26300000.0,3148000.0,805868000.0,53150000.0
December 2011,75526000.0,26059000.0,-1069000.0,1217225000.0,66539000.0
March 2012,82230000.0,30420000.0,-2652000.0,1208494000.0,65018000.0
June 2012,86222000.0,32620000.0,-5276000.0,1371781000.0,222590000.0
September 2012,208539000.0,96273000.0,-74854000.0,4020526000.0,348914000.0
December 2012,224827000.0,73048000.0,-43704000.0,4114376000.0,236260000.0
March 2013,208475000.0,93872000.0,-18543000.0,4064379000.0,188300000.0
June 2013,235463000.0,121412000.0,1130000.0,4152100000.0,268976000.0
September 2013,237100000.0,76400000.0,-27500000.0,4146499000.0,206764000.0
December 2013,250508000.0,87000000.0,-36315000.0,4376466000.0,310057000.0
March 2014,265700000.0,96600000.0,-43600000.0,4449941000.0,412669000.0
June 2014,303983000.0,124600000.0,-72176000.0,4980900000.0,533808000.0
September 2014,359900000.0,156600000.0,-110300000.0,4972900000.0,426300000.0
December 2014,226800000.0,32100000.0,3700000.0,4988800000.0,427800000.0
March 2015,284000000.0,83000000.0,-53700000.0,5886200000.0,464800000.0
June 2015,307100000.0,86400000.0,5200000.0,6094000000.0,567300000.0
September 2015,314700000.0,84600000.0,-15200000.0,6165300000.0,608500000.0
December 2015,310900000.0,85000000.0,-10800000.0,6273100000.0,419400000.0
March 2016,420500000.0,112500000.0,-19300000.0,6832800000.0,553600000.0
June 2016,435300000.0,104300000.0,-30900000.0,6720000000.0,396600000.0
September 2016,417900000.0,105600000.0,15700000.0,6826400000.0,410800000.0
December 2016,416000000.0,104700000.0,19800000.0,6860200000.0,361700000.0
March 2017,459500000.0,108800000.0,27000000.0,8536800000.0,496500000.0
June 2017,532600000.0,117100000.0,23200000.0,8727800000.0,514000000.0
September 2017,548100000.0,128300000.0,23200000.0,8850800000.0,609600000.0
December 2017,549900000.0,121600000.0,13200000.0,8923100000.0,604600000.0
March 2018,544100000.0,117700000.0,23400000.0,9226700000.0,693500000.0
June 2018,538300000.0,121900000.0,45600000.0,9212200000.0,626200000.0
September 2018,518300000.0,122100000.0,22100000.0,9310300000.0,676300000.0
December 2018,494400000.0,125500000.0,30200000.0,9132800000.0,475400000.0
March 2019,515600000.0,128100000.0,34700000.0,9263200000.0,510500000.0
June 2019,529400000.0,133300000.0,63000000.0,9333800000.0,484500000.0
September 2019,509700000.0,122600000.0,17900000.0,9881100000.0,530900000.0
December 2019,513200000.0,123100000.0,61400000.0,9960500000.0,430000000.0
