,OperatingExpenses,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2009,51589000.0,10033000.0,,
June 2009,51589000.0,10033000.0,,
September 2009,51589000.0,10033000.0,,
December 2009,51589000.0,10033000.0,,
March 2010,18995000.0,10377000.0,,
June 2010,25214000.0,9974000.0,,
September 2010,29100000.0,10406000.0,,
December 2010,24597000.0,9168000.0,310952000.0,26373000.0
March 2011,23697000.0,11264000.0,,
June 2011,24503000.0,11389000.0,348236000.0,47060000.0
September 2011,25425000.0,10640000.0,341645000.0,41711000.0
December 2011,31204000.0,10550000.0,321592000.0,31940000.0
March 2012,25606000.0,11540000.0,317107000.0,42641000.0
June 2012,25581000.0,11008000.0,323640000.0,53915000.0
September 2012,32255000.0,11919000.0,311616000.0,48913000.0
