,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
June 2014,368333.3333333333,-3179666.6666666665,,
September 2014,368333.3333333333,-3179666.6666666665,,
December 2014,368333.3333333333,-3179666.6666666665,,
March 2015,1371000.0,-1093000.0,,
June 2015,1966000.0,-3040000.0,,
September 2015,3458000.0,-3019000.0,,
December 2015,4375000.0,-5245000.0,82139000.0,77626000.0
March 2016,5225000.0,-6689000.0,75540000.0,65937000.0
June 2016,7423000.0,-6900000.0,310624000.0,302904000.0
September 2016,7861000.0,-7482000.0,301469000.0,292702000.0
December 2016,11331000.0,-10563000.0,298969000.0,281306000.0
March 2017,13431000.0,-12631000.0,279263000.0,261078000.0
June 2017,15565000.0,-15593000.0,264975000.0,245919000.0
September 2017,17481000.0,-15356000.0,249170000.0,229053000.0
December 2017,21170000.0,-23963000.0,376235000.0,354830000.0
March 2018,22493000.0,-21356000.0,359545000.0,337720000.0
June 2018,23467000.0,-22219000.0,339778000.0,317629000.0
September 2018,23237000.0,-22702000.0,321233000.0,298829000.0
December 2018,19918000.0,-19066000.0,347315000.0,324977000.0
March 2019,23709000.0,-21940000.0,344363000.0,303693000.0
June 2019,25460000.0,-25683000.0,352441000.0,307137000.0
September 2019,27513000.0,-23634000.0,346635000.0,295935000.0
December 2019,31731000.0,-28276000.0,334280000.0,289481000.0
March 2020,34650000.0,-31806000.0,314752000.0,269760000.0
June 2020,37771000.0,-32393000.0,490830000.0,446367000.0
September 2020,39756000.0,-27840000.0,458555000.0,416250000.0
December 2020,38231000.0,-42192000.0,676322000.0,616517000.0
March 2021,39276000.0,-46205000.0,716891000.0,601084000.0
June 2021,58884000.0,-68806000.0,672243000.0,549404000.0
September 2021,60486000.0,-71644000.0,1334961000.0,814774000.0
December 2021,71161000.0,-81237000.0,1294464000.0,769303000.0
March 2022,133095000.0,-146872000.0,1202788000.0,875367000.0
June 2022,90199000.0,-100678000.0,1110424000.0,895433000.0
