,OperatingExpenses,Assets,AssetsCurrent
March 2010,,,
June 2010,,,
September 2010,,,
December 2010,,3791243000.0,431028000.0
March 2011,299248750.0,3744499000.0,389422000.0
June 2011,299248750.0,3859945000.0,492226000.0
September 2011,299248750.0,3863369000.0,465434000.0
December 2011,299248750.0,3989279000.0,501584000.0
March 2012,280984000.0,3981876000.0,507758000.0
June 2012,295939000.0,4064310000.0,563383000.0
September 2012,327699000.0,4147223000.0,628193000.0
December 2012,305349000.0,4140429000.0,551753000.0
March 2013,292246000.0,4077888000.0,454976000.0
June 2013,304414000.0,4176380000.0,509632000.0
September 2013,307276000.0,4293805000.0,529713000.0
December 2013,309128000.0,4280294000.0,498098000.0
March 2014,288727000.0,4344488000.0,524699000.0
June 2014,299684000.0,4548592000.0,564433000.0
