,OperatingExpenses,Assets,AssetsCurrent
March 2010,178691.0,,
June 2010,178691.0,,
September 2010,176057.0,,
December 2010,219945.0,16586901.0,
March 2011,191706.0,,
June 2011,194497.0,,
September 2011,188362.0,16593120.0,
December 2011,182838.0,16525371.0,
March 2012,188410.0,16419564.0,
June 2012,194624.0,16301999.0,
September 2012,184046.0,16146620.0,
December 2012,201082.0,16006305.0,
March 2013,184414.0,15867101.0,
June 2013,163851.0,15714168.0,
September 2013,166625.0,16810488.0,
December 2013,89304.0,16204651.0,
March 2014,163466.0,,
June 2014,186337.0,16442252.0,
September 2014,219435.0,16608559.0,
December 2014,183250.0,15999813.0,
March 2015,183265.0,15844952.0,
June 2015,184583.0,14762175.0,
September 2015,172968.0,14600174.0,
December 2015,159949.0,13930917.0,
March 2016,234535.0,13907466.0,
June 2016,197708.0,13506531.0,
September 2016,181892.0,13362326.0,
December 2016,174128.0,13064342.0,691125.0
March 2017,192757.0,12950051.0,
June 2017,456570.0,12522606.0,597819.0
September 2017,210353.0,12309661.0,
December 2017,176932.0,13230184.0,2193211.0
March 2018,183612.0,12096479.0,1177127.0
June 2018,189468.0,11825422.0,1023691.0
September 2018,175160.0,11714113.0,1030003.0
December 2018,167267.0,11563460.0,996971.0
March 2019,180704.0,11437290.0,988422.0
June 2019,189609.0,11235927.0,904680.0
September 2019,182970.0,11112916.0,831270.0
December 2019,150930.0,11456174.0,3197449.0
March 2020,165246.0,11288644.0,
June 2020,148515.0,11150659.0,3050024.0
September 2020,155130.0,11060428.0,3009066.0
December 2020,131780.0,11771634.0,4355451.0
March 2021,162130.0,11645714.0,3936456.0
June 2021,155169.0,10972070.0,1365651.0
September 2021,164872.0,10891618.0,3679473.0
December 2021,131178.0,10355302.0,3229925.0
March 2022,128848.0,11554281.0,4080264.0
June 2022,165468.0,11202304.0,106526.0
