,NetIncomeLoss,Assets,AssetsCurrent
March 2014,-1662000.0,,
June 2014,-1662000.0,,
September 2014,-1662000.0,,
December 2014,-1662000.0,,
March 2015,-5737000.0,,
June 2015,4090000.0,,
September 2015,-2147000.0,,
December 2015,11476000.0,329920000.0,252362000.0
March 2016,1746000.0,,
June 2016,11555000.0,352623000.0,264775000.0
September 2016,2797000.0,439093000.0,342803000.0
December 2016,-2256000.0,437206000.0,325227000.0
March 2017,5213000.0,477941000.0,358494000.0
June 2017,13858000.0,519897000.0,393033000.0
September 2017,20398000.0,576361000.0,437482000.0
December 2017,5889000.0,573534000.0,432967000.0
March 2018,8648000.0,579864000.0,429980000.0
June 2018,-4053000.0,571884000.0,401491000.0
September 2018,9532000.0,574696000.0,385495000.0
December 2018,-8848000.0,604855000.0,414197000.0
March 2019,-12104000.0,781844000.0,429944000.0
June 2019,1828000.0,787960000.0,428770000.0
September 2019,-4571000.0,820972000.0,468418000.0
December 2019,-861000.0,826677000.0,468422000.0
March 2020,-492000.0,915404000.0,478068000.0
June 2020,-66101000.0,895285000.0,498923000.0
September 2020,42382000.0,985684000.0,565276000.0
December 2020,5184000.0,956257000.0,548159000.0
March 2021,-1797000.0,954056000.0,537370000.0
June 2021,-39797000.0,940514000.0,557575000.0
September 2021,-30677000.0,962589000.0,598816000.0
December 2021,-87277000.0,1007701000.0,660271000.0
March 2022,-15800000.0,996188000.0,615246000.0
June 2022,-5510000.0,981779000.0,620304000.0
