,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2013,-57500000.0,,,
June 2013,-57500000.0,,,
September 2013,-57500000.0,,,
December 2013,-57500000.0,,,
March 2014,-66000000.0,,,
June 2014,13000000.0,,,
September 2014,101000000.0,,,
December 2014,362000000.0,10760000000.0,2701000000.0,643000000.0
March 2015,96000000.0,,,
June 2015,26000000.0,12862000000.0,2621000000.0,1093000000.0
September 2015,-401000000.0,12254000000.0,2622000000.0,623000000.0
December 2015,-62000000.0,12809000000.0,2762000000.0,484000000.0
March 2016,151000000.0,12595000000.0,2528000000.0,518000000.0
June 2016,-3000000.0,12403000000.0,2535000000.0,302000000.0
September 2016,88000000.0,12429000000.0,2579000000.0,341000000.0
