,OperatingExpenses,NetIncomeLoss,Assets
March 2013,29000.0,-29000.0,743000.0
June 2013,250000.0,-215000.0,360662000.0
September 2013,20249000.0,-17014000.0,1282354000.0
December 2013,26577000.0,-3539000.0,1347375000.0
March 2014,38209000.0,-9569000.0,2109230000.0
June 2014,34099000.0,-1872000.0,2225588000.0
September 2014,37758000.0,1610000.0,2212963000.0
December 2014,25411000.0,4835000.0,2229030000.0
March 2015,30550000.0,4901000.0,2214817000.0
June 2015,36850000.0,-1624000.0,2192348000.0
September 2015,36878000.0,-11428000.0,2388217000.0
December 2015,37069000.0,-12966000.0,2257154000.0
March 2016,37051000.0,-5854000.0,2190229000.0
June 2016,36519000.0,-4077000.0,2155989000.0
September 2016,40953000.0,-8729000.0,2129401000.0
December 2016,63764000.0,-35595000.0,2064459000.0
March 2017,57479000.0,-10717000.0,3377192000.0
June 2017,66715000.0,-1021000.0,3306069000.0
September 2017,70906000.0,-15397000.0,3301575000.0
December 2017,77448000.0,-19389000.0,3296650000.0
March 2018,63240000.0,15401000.0,3236924000.0
June 2018,70794000.0,-12041000.0,3194526000.0
September 2018,86499000.0,-27245000.0,3264140000.0
December 2018,73995000.0,-13524000.0,3262547000.0
March 2019,61719000.0,-3227000.0,3368493000.0
June 2019,63606000.0,7884000.0,3313927000.0
September 2019,56123000.0,-2931000.0,3457062000.0
December 2019,63456000.0,-4827000.0,3490188000.0
March 2020,62513000.0,-9153000.0,3646128000.0
June 2020,77236000.0,-21803000.0,3596517000.0
September 2020,64149000.0,-7091000.0,3564234000.0
December 2020,62236000.0,-8603000.0,3607967000.0
March 2021,63917000.0,,3605618000.0
June 2021,62729000.0,,3667926000.0
September 2021,73744000.0,,3695168000.0
December 2021,94068000.0,,3814210000.0
March 2022,81205000.0,,4331725000.0
June 2022,153462000.0,,4691593000.0
