,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
December 2008,4310750.0,-5521500.0,,,
March 2009,4310750.0,-5521500.0,,,
June 2009,4310750.0,-5521500.0,,,
September 2009,4310750.0,-5521500.0,,,
December 2009,3962000.0,249000.0,,,
March 2010,3962000.0,249000.0,,,
June 2010,4317000.0,1605000.0,,,
September 2010,3783000.0,-1630000.0,182505000.0,118755000.0,
December 2010,4168000.0,-7628000.0,,,
March 2011,4523000.0,2619000.0,,,
June 2011,4947000.0,3650000.0,217948000.0,121853000.0,
September 2011,5970000.0,972000.0,216530000.0,122448000.0,
December 2011,4592000.0,-180000.0,207837000.0,114143000.0,
March 2012,4906000.0,262000.0,205440000.0,110890000.0,
June 2012,4835000.0,894000.0,216021000.0,123438000.0,
September 2012,4578000.0,833000.0,208552000.0,115068000.0,92862000.0
December 2012,4842000.0,2402000.0,195721000.0,101644000.0,
March 2013,5245000.0,3714000.0,205939000.0,112610000.0,
June 2013,5373000.0,3274000.0,216182000.0,123019000.0,
September 2013,5222000.0,2345000.0,212649000.0,121206000.0,90922000.0
December 2013,4705000.0,2747000.0,219395000.0,127569000.0,
March 2014,5984000.0,3522000.0,226451000.0,136869000.0,
June 2014,6219000.0,5797000.0,252039000.0,162943000.0,
September 2014,6463000.0,4575000.0,256795000.0,142593000.0,114034000.0
December 2014,5652000.0,4150000.0,248057000.0,132947000.0,
March 2015,5975000.0,2544000.0,253549000.0,138523000.0,
June 2015,6427000.0,5392000.0,248841000.0,134364000.0,
September 2015,7770000.0,9624000.0,260239000.0,151358000.0,108557000.0
December 2015,6335000.0,6708000.0,265320000.0,157599000.0,
March 2016,7636000.0,7152000.0,252324000.0,144117000.0,
June 2016,6849000.0,13531000.0,279417000.0,169386000.0,
September 2016,5249000.0,9854000.0,292892000.0,180487000.0,112130000.0
December 2016,6264000.0,4460000.0,282557000.0,166023000.0,
March 2017,7055000.0,7420000.0,271222000.0,152256000.0,
June 2017,6216000.0,6869000.0,292496000.0,169019000.0,
September 2017,5973000.0,3799000.0,283073000.0,160191000.0,
December 2017,5763000.0,8111000.0,284640000.0,153124000.0,
March 2018,7475000.0,5879000.0,272640000.0,141146000.0,
June 2018,7541000.0,12868000.0,291726000.0,160890000.0,
September 2018,7525000.0,9408000.0,329534000.0,195477000.0,
December 2018,6534000.0,4126000.0,311434000.0,173174000.0,
March 2019,6556000.0,1049000.0,311571000.0,174556000.0,
June 2019,5516000.0,2190000.0,304795000.0,169727000.0,
September 2019,5898000.0,-1767000.0,293009000.0,160584000.0,
December 2019,5744000.0,555000.0,306451000.0,174241000.0,
March 2020,9602000.0,4364000.0,319035000.0,176272000.0,
June 2020,6694000.0,6664000.0,336690000.0,196786000.0,
September 2020,9308000.0,7426000.0,337902000.0,197038000.0,
December 2020,8553000.0,8143000.0,309951000.0,168883000.0,
March 2021,10330000.0,14920000.0,336861000.0,192242000.0,
June 2021,6184000.0,18395000.0,371931000.0,227813000.0,
September 2021,7321000.0,25152000.0,390710000.0,246906000.0,
December 2021,12281000.0,23129000.0,368779000.0,226804000.0,
March 2022,7202000.0,39017000.0,420558000.0,282804000.0,
June 2022,8235000.0,38559000.0,481048000.0,343665000.0,
