,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent
March 2009,16520250.0,,,
June 2009,16520250.0,,,
September 2009,16520250.0,,,
December 2009,16520250.0,,,
March 2010,5296000.0,-2043250.0,,
June 2010,21937000.0,-2043250.0,,
September 2010,17608000.0,-2043250.0,,
December 2010,5865000.0,-2043250.0,122285000.0,4989000.0
March 2011,4852000.0,-3566000.0,,
June 2011,18974000.0,3901000.0,120170000.0,5379000.0
September 2011,23261000.0,-14581000.0,106274000.0,7956000.0
December 2011,13443000.0,5061000.0,99811000.0,2152000.0
March 2012,3907000.0,-2623000.0,102101000.0,5242000.0
June 2012,15123000.0,5018000.0,109260000.0,13178000.0
September 2012,14622000.0,4532000.0,106380000.0,11425000.0
December 2012,3910000.0,-2356000.0,95787000.0,1663000.0
March 2013,3790000.0,-2279000.0,97178000.0,3877000.0
June 2013,15786000.0,4903000.0,106651000.0,13907000.0
September 2013,14170000.0,4158000.0,103655000.0,11675000.0
December 2013,7774000.0,-4758000.0,88144000.0,1298000.0
March 2014,3720000.0,-2118000.0,90469000.0,4345000.0
June 2014,15862000.0,4844000.0,98778000.0,39253000.0
September 2014,16810000.0,2601000.0,94949000.0,36940000.0
December 2014,3590000.0,-2182000.0,87265000.0,27524000.0
March 2015,4634000.0,-2604000.0,89629000.0,31375000.0
June 2015,16862000.0,5494000.0,86301000.0,29139000.0
September 2015,4298000.0,-1396000.0,90286000.0,34433000.0
December 2015,14804000.0,3791000.0,82448000.0,27506000.0
March 2016,4056000.0,-2343000.0,85364000.0,30884000.0
June 2016,16534000.0,5066000.0,82975000.0,28559000.0
September 2016,,-2167000.0,88413000.0,34044000.0
December 2016,,3245000.0,81286000.0,3996000.0
March 2017,,-2405000.0,82350000.0,28972000.0
June 2017,,5203000.0,95334000.0,41466000.0
September 2017,,-2015000.0,86976000.0,10498000.0
December 2017,,7643000.0,80280000.0,4628000.0
March 2018,,-992000.0,79068000.0,4154000.0
June 2018,,6508000.0,82859000.0,8374000.0
September 2018,,-2699000.0,82192000.0,8753000.0
December 2018,,4072000.0,78953000.0,6234000.0
March 2019,,-2490000.0,77887000.0,5685000.0
June 2019,,5501000.0,84875000.0,13594000.0
September 2019,,-414000.0,86360000.0,12949000.0
December 2019,,2903000.0,82466000.0,9709000.0
March 2020,,-3140000.0,79281000.0,7375000.0
June 2020,,-689000.0,77111000.0,7407000.0
September 2020,,13190000.0,93032000.0,23571000.0
December 2020,,-1879000.0,87546000.0,20612000.0
March 2021,,-3202000.0,90600000.0,20460000.0
June 2021,,19745000.0,110359000.0,37457000.0
September 2021,,-1865000.0,100126000.0,26427000.0
