,OperatingExpenses,Assets,AssetsCurrent
March 2011,,2810159000.0,376400000.0
June 2011,,3231590000.0,268803000.0
September 2011,,3209556000.0,279452000.0
December 2011,,3101240000.0,525223000.0
March 2012,,3064731000.0,246439000.0
June 2012,,3236404000.0,368145000.0
September 2012,,3144942000.0,282011000.0
December 2012,,3136675000.0,407560000.0
March 2013,,3203648000.0,462078000.0
June 2013,,3117156000.0,314158000.0
September 2013,,3255686000.0,237690000.0
December 2013,,3508798000.0,237686000.0
March 2014,,3497042000.0,230392000.0
June 2014,,3782960000.0,504616000.0
September 2014,,3869330000.0,290510000.0
December 2014,,3917417000.0,354745000.0
March 2015,,3881357000.0,312400000.0
June 2015,,3820798000.0,252356000.0
September 2015,,3871783000.0,328789000.0
December 2015,,3863251000.0,619545000.0
March 2016,254731250.0,3781790000.0,525427000.0
June 2016,254731250.0,3717140000.0,473171000.0
September 2016,254731250.0,3739461000.0,492963000.0
December 2016,254731250.0,3739234000.0,567624000.0
March 2017,263158250.0,3732481000.0,570977000.0
June 2017,263158250.0,3841949000.0,720104000.0
September 2017,263158250.0,3854497000.0,594657000.0
December 2017,263158250.0,3857812000.0,728124000.0
March 2018,245005000.0,3752785000.0,608882000.0
June 2018,255592000.0,3845613000.0,721330000.0
September 2018,241220000.0,3918613000.0,809972000.0
December 2018,235346000.0,3972833000.0,908474000.0
March 2019,233474000.0,3890657000.0,792389000.0
June 2019,243297000.0,3925740000.0,844662000.0
September 2019,239346000.0,3898837000.0,853106000.0
December 2019,261677000.0,3918974000.0,913732000.0
March 2020,331860000.0,3799540000.0,938256000.0
June 2020,115292000.0,3423701000.0,675537000.0
September 2020,107476000.0,3246782000.0,522758000.0
December 2020,107167000.0,2985717000.0,435145000.0
March 2021,98071000.0,2916674000.0,389854000.0
June 2021,137149000.0,3015362000.0,242845000.0
September 2021,181600000.0,3034595000.0,282231000.0
December 2021,180452000.0,3041049000.0,282096000.0
March 2022,179088000.0,2952868000.0,307872000.0
June 2022,207759000.0,3086623000.0,209228000.0
