,OperatingExpenses,Assets
March 2013,,
June 2013,,
September 2013,,202000.0
December 2013,,202000.0
March 2014,,202000.0
June 2014,,2843927.0
September 2014,,4661806.0
December 2014,,10822137.0
March 2015,,15916957.0
June 2015,,25725840.0
September 2015,,39831840.0
December 2015,,58288475.0
March 2016,,80222252.0
June 2016,,100873860.0
September 2016,,129609455.0
December 2016,,135035280.0
March 2017,,149927697.0
June 2017,,173378260.0
September 2017,,196783401.0
December 2017,,233510045.0
March 2018,,253531923.0
June 2018,,295544759.0
September 2018,,331615936.0
December 2018,,353944629.0
March 2019,,395158265.0
June 2019,,448453280.0
September 2019,,486942672.0
December 2019,,508159082.0
March 2020,4338752.0,534061341.0
June 2020,4380821.0,569194388.0
September 2020,,619523069.0
December 2020,,688376461.0
March 2021,6557880.0,1126146782.0
June 2021,9301123.0,1224864685.0
September 2021,,1413451540.0
December 2021,,1582559120.0
March 2022,13657228.0,1681607542.0
