,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2020,127500.0,14500.0,113000.0,-201000.0,
June 2020,127500.0,14500.0,113000.0,-201000.0,
September 2020,272000.0,57000.0,215000.0,-335000.0,
December 2020,261000.0,47000.0,,-331000.0,51000.0
March 2021,163000.0,29000.0,222000.0,-210000.0,
June 2021,337000.0,25000.0,222000.0,-945000.0,
September 2021,446000.0,105000.0,341000.0,-1188000.0,961000.0
December 2021,1339000.0,96000.0,,-2085000.0,13998000.0
March 2022,2148000.0,734000.0,,-2146000.0,12741000.0
June 2022,3535000.0,1742000.0,,-3525000.0,9738000.0
