,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
September 2009,52401000.0,,-26861250.0,,
December 2009,52401000.0,,-26861250.0,,
March 2010,52401000.0,,-26861250.0,,
June 2010,52401000.0,,-26861250.0,,
September 2010,49560000.0,12575000.0,-15468000.0,,
December 2010,45553000.0,12096000.0,-10269000.0,,
March 2011,49453000.0,12331000.0,-5687000.0,,
June 2011,55819000.0,,41681000.0,411975000.0,253863000.0
September 2011,53029000.0,13769000.0,-11736000.0,394057000.0,241119000.0
December 2011,46589000.0,12767000.0,3836000.0,382553000.0,242666000.0
March 2012,51721000.0,14423000.0,-520000.0,403994000.0,276538000.0
June 2012,54525000.0,,-5388000.0,368335000.0,261463000.0
September 2012,50165000.0,,4413000.0,338830000.0,237967000.0
December 2012,50007000.0,,9937000.0,345438000.0,251577000.0
March 2013,50374000.0,,10513000.0,361661000.0,235549000.0
June 2013,54893000.0,,20399000.0,382748000.0,285351000.0
September 2013,50638000.0,1225000.0,14999000.0,367059000.0,286880000.0
December 2013,50214000.0,1225000.0,23263000.0,358911000.0,291209000.0
March 2014,56897000.0,1225000.0,20843000.0,383030000.0,318420000.0
June 2014,51292000.0,1225000.0,26678000.0,407972000.0,329682000.0
September 2014,50111000.0,825000.0,28967000.0,378235000.0,308656000.0
December 2014,49004000.0,825000.0,30464000.0,343354000.0,265966000.0
March 2015,57259000.0,825000.0,28170000.0,317065000.0,258405000.0
June 2015,54659000.0,825000.0,30806000.0,315361000.0,263630000.0
September 2015,51895000.0,300000.0,36771000.0,266780000.0,219937000.0
December 2015,50964000.0,0.0,36683000.0,276393000.0,230226000.0
March 2016,56516000.0,0.0,33171000.0,439431000.0,394987000.0
June 2016,52977000.0,0.0,33326000.0,419738000.0,361323000.0
September 2016,53814000.0,400000.0,35000000.0,289944000.0,225664000.0
December 2016,52289000.0,0.0,37010000.0,267357000.0,168409000.0
March 2017,54737000.0,0.0,35834000.0,243952000.0,147052000.0
June 2017,62620000.0,1900000.0,54352000.0,247942000.0,146186000.0
September 2017,56736000.0,0.0,34755000.0,202723000.0,101937000.0
December 2017,58348000.0,0.0,38078000.0,195796000.0,88739000.0
March 2018,61938000.0,0.0,37835000.0,246007000.0,111163000.0
June 2018,62207000.0,,38020000.0,264924000.0,131185000.0
September 2018,63952000.0,0.0,36966000.0,939668000.0,459724000.0
December 2018,61926000.0,0.0,59217000.0,952446000.0,466446000.0
March 2019,62793000.0,0.0,61587000.0,938667000.0,462652000.0
June 2019,69056000.0,,105994000.0,863013000.0,429040000.0
September 2019,71569000.0,,46284000.0,1021657000.0,407450000.0
December 2019,67547000.0,,39801000.0,1044555000.0,426866000.0
March 2020,70149000.0,,41826000.0,1130048000.0,541658000.0
June 2020,70486000.0,,94530000.0,1223306000.0,650440000.0
September 2020,65335000.0,,32711000.0,1255979000.0,670432000.0
December 2020,69950000.0,,129152000.0,1287889000.0,588724000.0
March 2021,77772000.0,,62495000.0,1372661000.0,686738000.0
June 2021,77767000.0,,95445000.0,1454000000.0,768317000.0
September 2021,81259000.0,,39399000.0,1320174000.0,610122000.0
December 2021,87971000.0,,61864000.0,1303930000.0,587902000.0
March 2022,93375000.0,,75123000.0,1381017000.0,695034000.0
