,NetIncomeLoss,Assets
March 2009,-9549.5,
June 2009,-9549.5,
September 2009,-9549.5,
December 2009,-9549.5,
March 2010,-30731.0,
June 2010,-570337.0,
September 2010,-2105.0,
December 2010,209217.0,10366982.0
March 2011,-14133.0,
June 2011,501846.0,10848063.0
September 2011,27592.0,10871536.0
December 2011,38171.0,10917888.0
March 2012,21656.0,10932154.0
June 2012,37490.0,7470246.0
September 2012,-37700.0,7434478.0
December 2012,-43513.0,7395843.0
March 2013,825229.0,8217234.0
June 2013,-86945.0,8125188.0
September 2013,-89641.0,8033084.0
December 2013,929366.0,5238939.0
