,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
September 2008,,-412.6666666666667,,,
December 2008,,-412.6666666666667,,,
March 2009,,-412.6666666666667,,,
June 2009,,-6924.75,,,
September 2009,,-6924.75,,,
December 2009,,-6924.75,,,
March 2010,,-6924.75,,,
June 2010,,-4507.0,,,
September 2010,,-1796.0,,,
December 2010,,-2433.0,,,
March 2011,,-1700.0,2982.0,2982.0,
June 2011,,-3703.0,663.0,663.0,
September 2011,,-2095.0,68.0,68.0,
December 2011,,-2268.0,50.0,50.0,
March 2012,,-9249.0,32.0,32.0,
June 2012,,-5150.0,32.0,32.0,
September 2012,,-4250.0,32.0,32.0,
December 2012,,-2750.0,32.0,32.0,
March 2013,,-3397.0,0.0,0.0,
June 2013,,-4040.0,0.0,,
September 2013,,-1500.0,0.0,,
December 2013,,-110236.0,417539.0,37272.0,
March 2014,,-175624.0,487529.0,9037.0,
June 2014,,-88795.0,764949.0,1282.0,
September 2014,,-178143.0,792617.0,28503.0,
December 2014,,-128823.0,827081.0,8237.0,
March 2015,,-607864.0,759986.0,1875.0,
June 2015,-118473.5,-93803.0,758010.0,2322.0,
September 2015,-118473.5,-143145.0,778911.0,25707.0,
December 2015,-164024.0,-164024.0,754008.0,3750.0,
March 2016,0.0,131553.0,11628.0,1875.0,
June 2016,0.0,-76802.0,5805.0,,
September 2016,1124.0,-55875.0,1858.0,,
December 2016,-59629.0,-49629.0,14351.0,14351.0,
March 2017,35084.0,-26658.0,15779.0,15779.0,
June 2017,114971.0,-718843.0,177538.0,177538.0,
September 2017,111222.0,-752.0,320706.0,320706.0,
December 2017,180578.0,1448.0,361389.0,361389.0,
March 2018,288478.0,60925.0,438550.0,438550.0,
June 2018,4908616.0,-14510914.0,8214906.0,2641541.0,5573365.0
September 2018,2642632.0,-8469145.0,5953273.0,1472355.0,4480918.0
December 2018,1023723.0,8440977.0,7192820.0,1582655.0,5610165.0
March 2019,5644215.0,-19647723.0,7780503.0,1957276.0,5823227.0
June 2019,6916112.0,-6961458.0,5486227.0,1720211.0,3766016.0
September 2019,4755410.0,-11360914.0,5819225.0,1369529.0,4449696.0
December 2019,5578226.0,-6894367.0,4327688.0,2260352.0,2067336.0
March 2020,1566488.0,-3453338.0,4117219.0,1523245.0,2593974.0
June 2020,3522028.0,-67655332.0,6625915.0,4124603.0,2501312.0
September 2020,1502829.0,35602297.0,4515961.0,2116485.0,2399476.0
December 2020,4166598.0,-7275585.0,3533696.0,1395615.0,2138081.0
March 2021,1229305.0,-2269180.0,6899275.0,1338704.0,5560571.0
June 2021,1948375.0,3682857.0,5471326.0,1470977.0,4000349.0
September 2021,1924725.0,6254930.0,6380245.0,3434449.0,2945796.0
December 2021,1429622.0,-1413817.0,9534689.0,6746762.0,2787927.0
March 2022,2089184.0,-2037231.0,9338214.0,6735275.0,2602939.0
June 2022,1395470.0,-708966.0,8572336.0,6607475.0,1964861.0
