,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent
March 2010,1978000.0,425000.0,,
June 2010,2016000.0,728000.0,,
September 2010,2274000.0,833000.0,,
December 2010,2201000.0,1069000.0,66727000.0,53443000.0
March 2011,2376000.0,661000.0,,
June 2011,2661000.0,905000.0,68011000.0,62743000.0
September 2011,3413000.0,944000.0,69510000.0,54582000.0
December 2011,3658000.0,1128000.0,59107000.0,43840000.0
March 2012,3037000.0,831000.0,56460000.0,40991000.0
June 2012,2924000.0,1085000.0,59315000.0,42245000.0
September 2012,3164000.0,1390000.0,62691000.0,46403000.0
December 2012,4705000.0,1050000.0,64404000.0,47455000.0
