,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2015,3997750.0,2845500.0,,-4170500.0,,
June 2015,3997750.0,2845500.0,,-4170500.0,,
September 2015,3997750.0,2845500.0,,-4170500.0,,
December 2015,3997750.0,2845500.0,,-4170500.0,,
March 2016,5076000.0,3911000.0,,-8291750.0,,
June 2016,9650000.0,5950000.0,,-8291750.0,,
September 2016,9747000.0,8256000.0,,-8291750.0,,
December 2016,8196000.0,6912000.0,,-8291750.0,46329000.0,45626000.0
March 2017,9571000.0,8039000.0,2716750.0,-10552750.0,,
June 2017,9630000.0,8071000.0,2716750.0,-10552750.0,28591000.0,27894000.0
September 2017,9534000.0,7018000.0,2716750.0,-10552750.0,123691000.0,122935000.0
December 2017,11140000.0,5880000.0,2716750.0,-10552750.0,116546000.0,115213000.0
March 2018,11139000.0,5657000.0,5482000.0,-11297000.0,104989000.0,101414000.0
June 2018,14519000.0,7368000.0,7151000.0,-14619000.0,95590000.0,91936000.0
September 2018,15496000.0,7027000.0,8469000.0,-15603000.0,84075000.0,80455000.0
December 2018,23567000.0,9238000.0,14329000.0,-25219000.0,220966000.0,177028000.0
March 2019,25436000.0,6959000.0,18236000.0,-25388000.0,197016000.0,150449000.0
June 2019,24467000.0,7108000.0,17007000.0,-23825000.0,178815000.0,132803000.0
September 2019,23018000.0,7070000.0,15280000.0,-23176000.0,161013000.0,112486000.0
December 2019,21377000.0,6138000.0,14492000.0,-21958000.0,154323000.0,105484000.0
March 2020,21196000.0,5434000.0,15408000.0,-21955000.0,258526000.0,210247000.0
June 2020,22113000.0,6053000.0,15301000.0,-23312000.0,245510000.0,197024000.0
September 2020,28062000.0,3468000.0,23893000.0,-27948000.0,225096000.0,178156000.0
December 2020,31222000.0,3397000.0,26466000.0,-31112000.0,221606000.0,171379000.0
March 2021,31580000.0,3126000.0,27699000.0,-30412000.0,229827000.0,179065000.0
June 2021,32096000.0,3094000.0,27986000.0,-36498000.0,215464000.0,171720000.0
September 2021,29138000.0,2881000.0,25349000.0,-28127000.0,193814000.0,149086000.0
December 2021,48671000.0,,24027000.0,-47568000.0,139427000.0,124366000.0
March 2022,32286000.0,4466000.0,26982000.0,-32941000.0,111574000.0,98255000.0
June 2022,28072000.0,4473000.0,22673000.0,-28111000.0,84976000.0,83515000.0
