,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2012,3855500.0,959250.0,29122000.0,9088004000.0
June 2012,3855500.0,959250.0,25812000.0,9196256000.0
September 2012,3855500.0,959250.0,21951000.0,9306144000.0
December 2012,3855500.0,959250.0,23333000.0,9285105000.0
March 2013,3989500.0,976000.0,23624000.0,9555821000.0
June 2013,3989500.0,976000.0,22998000.0,9510456000.0
September 2013,3935000.0,953000.0,18008000.0,8828786000.0
December 2013,3814000.0,862000.0,11090000.0,8619491000.0
March 2014,3980000.0,1064000.0,13371000.0,8642946000.0
June 2014,6510000.0,3722000.0,10047000.0,8554788000.0
September 2014,3497000.0,888000.0,19490000.0,8117152000.0
December 2014,3767000.0,1334000.0,-14290000.0,7298335000.0
March 2015,3615000.0,1279000.0,-16307000.0,7193105000.0
June 2015,3415000.0,1234000.0,19878000.0,7345047000.0
September 2015,3523000.0,1356000.0,-21814000.0,7357214000.0
December 2015,3427000.0,1320000.0,32946000.0,6636340000.0
March 2016,3612000.0,1568000.0,-20255000.0,6015578000.0
June 2016,3660000.0,1690000.0,-1361000.0,5703819000.0
September 2016,3436000.0,1493000.0,28289000.0,5659167000.0
December 2016,3511000.0,1585000.0,15821000.0,5395776000.0
March 2017,3305000.0,1484000.0,15401.0,5250094000.0
June 2017,3191000.0,1315000.0,10097000.0,5372123000.0
September 2017,3374000.0,1098000.0,12669000.0,5783787000.0
December 2017,3436000.0,1565000.0,16203.0,5765541000.0
March 2018,3233000.0,1110000.0,-2853000.0,5581447000.0
June 2018,3395000.0,1324000.0,14933000.0,5318950000.0
September 2018,3199000.0,1197000.0,17365000.0,5293564000.0
December 2018,3675000.0,1249000.0,-35933000.0,5037906000.0
March 2019,3046000.0,967000.0,-19970000.0,5341729000.0
June 2019,3113000.0,1033000.0,-47700000.0,4480683000.0
September 2019,3258000.0,1188000.0,-17492000.0,4581761000.0
December 2019,3889000.0,1902000.0,29742000.0,4938631000.0
March 2020,3060000.0,1089000.0,-185821000.0,3551011000.0
June 2020,3005000.0,1254000.0,36839000.0,2715498000.0
September 2020,2835000.0,1098000.0,21869000.0,2438772000.0
December 2020,4612000.0,2493000.0,23419000.0,2384490000.0
