,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2015,131687750.0,118513250.0,904250.0,,,
June 2015,131687750.0,118513250.0,904250.0,,,
September 2015,131687750.0,118513250.0,904250.0,,,
December 2015,131687750.0,118513250.0,904250.0,,,
March 2016,143327000.0,130464000.0,17854000.0,,,
June 2016,143327000.0,130464000.0,3587000.0,,,
September 2016,148237000.0,134457000.0,3026000.0,,,
December 2016,150139000.0,128853000.0,-9709000.0,1531117000.0,147259000.0,1383858000.0
March 2017,164329000.0,149804000.0,17070000.0,,,
June 2017,167361000.0,144655000.0,-1496000.0,,,
September 2017,167171000.0,151251000.0,1546000.0,1588862000.0,178790000.0,1410072000.0
December 2017,172245000.0,152214000.0,28700000.0,1583791000.0,162477000.0,1421314000.0
March 2018,188673000.0,170689000.0,25047000.0,1644554000.0,218627000.0,1425927000.0
June 2018,182680000.0,165038000.0,12467000.0,1639441000.0,199429000.0,1440012000.0
September 2018,206052000.0,184424000.0,5171000.0,1660694000.0,211101000.0,1449593000.0
December 2018,203527000.0,167325000.0,-18440000.0,1661389000.0,214704000.0,1446685000.0
March 2019,216846000.0,193876000.0,17429000.0,2053092000.0,270089000.0,1783003000.0
June 2019,205243000.0,182278000.0,10257000.0,2071836000.0,270894000.0,1800942000.0
September 2019,216288000.0,190290000.0,1192000.0,2078424000.0,278649000.0,1799775000.0
December 2019,205860000.0,178044000.0,3920000.0,2032725000.0,234639000.0,1798086000.0
March 2020,234235000.0,193741000.0,9742000.0,2218746000.0,441217000.0,1777529000.0
June 2020,160825000.0,136582000.0,-43833000.0,2219037000.0,453122000.0,1765915000.0
September 2020,219750000.0,190518000.0,35289000.0,2307513000.0,555435000.0,1752078000.0
December 2020,223319000.0,199749000.0,35079000.0,2333498000.0,566650000.0,1766848000.0
March 2021,248042000.0,223593000.0,43432000.0,2419845000.0,656950000.0,1762895000.0
June 2021,258714000.0,234235000.0,37601000.0,2369216000.0,608363000.0,1760853000.0
September 2021,240836000.0,218214000.0,40992000.0,2405471000.0,646387000.0,1759084000.0
December 2021,252217000.0,224756000.0,6219000.0,2293091000.0,514576000.0,1778515000.0
March 2022,254342000.0,228554000.0,30147000.0,2325487000.0,532594000.0,1792893000.0
June 2022,256617000.0,227829000.0,9734000.0,2278343000.0,480470000.0,1797873000.0
