,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2014,75431250.0,15018750.0,11389000.0,,,
June 2014,75431250.0,15018750.0,11389000.0,,,
September 2014,75431250.0,15018750.0,11389000.0,,,
December 2014,75431250.0,15018750.0,11389000.0,,,
March 2015,88475000.0,17846000.0,12982000.0,,,
June 2015,99984000.0,19853000.0,3540000.0,,,
September 2015,98667000.0,22442000.0,5096000.0,,,
December 2015,108356000.0,26666000.0,37935000.0,841719000.0,663414000.0,178305000.0
March 2016,116372000.0,27162000.0,17131000.0,893713000.0,709317000.0,184396000.0
June 2016,128070000.0,30235000.0,12200000.0,915416000.0,711811000.0,203605000.0
September 2016,131357000.0,30701000.0,13539000.0,953965000.0,745288000.0,208677000.0
December 2016,148172000.0,35551000.0,39402000.0,1211186000.0,742584000.0,468602000.0
March 2017,161767000.0,39521000.0,12442000.0,1237389000.0,715816000.0,521573000.0
June 2017,173750000.0,43611000.0,5970000.0,1298145000.0,759893000.0,538252000.0
September 2017,171433000.0,43860000.0,19774000.0,1358194000.0,810240000.0,547954000.0
December 2017,174701000.0,46933000.0,53028000.0,1531300000.0,991767000.0,539533000.0
March 2018,175558000.0,45318000.0,19809000.0,1499360000.0,966247000.0,533113000.0
June 2018,175914000.0,47544000.0,13726000.0,1456542000.0,933302000.0,523240000.0
September 2018,164785000.0,41796000.0,17143000.0,1515943000.0,911375000.0,604568000.0
December 2018,170872000.0,44605000.0,37966000.0,1597135000.0,933851000.0,663284000.0
March 2019,176256000.0,46577000.0,19120000.0,1745916000.0,872310000.0,873606000.0
June 2019,175285000.0,44015000.0,10823000.0,1749569000.0,890028000.0,859541000.0
September 2019,160234000.0,41414000.0,18778000.0,1701888000.0,859264000.0,842624000.0
December 2019,176047000.0,40585000.0,42024000.0,1790384000.0,1000461000.0,789923000.0
March 2020,148404000.0,37515000.0,15459000.0,1675889000.0,909172000.0,766717000.0
June 2020,136213000.0,31247000.0,5716000.0,1804402000.0,999406000.0,804996000.0
September 2020,143285000.0,30954000.0,5227000.0,1843368000.0,1051150000.0,792218000.0
December 2020,151291000.0,32797000.0,45277000.0,1853410000.0,1064550000.0,788860000.0
March 2021,144479000.0,31697000.0,22406000.0,1782635000.0,1059492000.0,723143000.0
June 2021,163140000.0,41915000.0,14804000.0,1842442000.0,1088457000.0,753985000.0
September 2021,143841000.0,33345000.0,23481000.0,1814493000.0,1095937000.0,718556000.0
December 2021,178607000.0,44860000.0,73765000.0,1983591000.0,1264168000.0,719423000.0
March 2022,156362000.0,34027000.0,20587000.0,1915340000.0,1228826000.0,686514000.0
June 2022,241481000.0,41496000.0,-33614000.0,1870844000.0,1190925000.0,679919000.0
