,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent,AssetsNoncurrent
March 2009,263000000.0,,,
June 2009,263000000.0,,,
September 2009,263000000.0,,,
December 2009,263000000.0,,,
March 2010,245000000.0,,,
June 2010,233000000.0,,,
September 2010,269000000.0,,,
December 2010,312000000.0,,,
March 2011,254000000.0,,,
June 2011,241000000.0,,,
September 2011,279000000.0,,,
December 2011,324000000.0,,,
March 2012,260000000.0,,,
June 2012,252000000.0,,,
September 2012,277000000.0,,,
December 2012,345000000.0,,,
March 2013,272000000.0,,,
June 2013,258000000.0,,,
September 2013,309000000.0,,,
December 2013,334000000.0,,,
March 2014,282000000.0,,,
