,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
June 2014,71087.0,67195.0,3892.0,-71087.0,150.0,150.0,
September 2014,599472.0,14345.0,585127.0,-598726.0,2083.0,,
December 2014,384018.0,23693.0,360325.0,-383268.0,40209.0,,
March 2015,28714.0,-1.0,28715.0,-158132.0,1328.0,,
June 2015,68533.0,1850.0,66683.0,-125423.0,85113.0,109.0,85004.0
September 2015,72924.0,1532.0,72924.0,-410941.0,219118.0,35046.0,184072.0
December 2015,188931.0,-1532.0,188931.0,-708585.0,477740.0,103930.0,373810.0
March 2016,19669.0,0.0,19669.0,-1683097.0,443286.0,48091.0,395195.0
June 2016,48674.0,0.0,38794.0,1511277.0,395720.0,525.0,395195.0
September 2016,84199.0,1532.0,72787.0,-329219.0,387311.0,1996.0,385315.0
December 2016,105386.0,0.0,95506.0,17182.0,404767.0,29332.0,375435.0
March 2017,563653.0,0.0,198098.0,-680633.0,368669.0,3114.0,365555.0
June 2017,4129.0,,4129.0,-292738.0,727.0,727.0,
September 2017,42459.0,,42459.0,-29413.0,1564.0,1564.0,
December 2017,114663.0,,114663.0,-159222.0,206.0,206.0,
March 2018,9480.0,,9480.0,-109569.0,1011.0,1011.0,
June 2018,,,,,7020.0,7020.0,
September 2018,,,,,,,
December 2018,,,,,,,
March 2019,,,,,,,
June 2019,5811.25,,5811.25,-327462.75,,,
September 2019,5811.25,,5811.25,-327462.75,,,
December 2019,5811.25,,5811.25,-327462.75,,,
March 2020,5811.25,,5811.25,-327462.75,,,
June 2020,1315.0,,1315.0,520069.0,727.0,727.0,
September 2020,5832.0,,5832.0,470031.0,,,
December 2020,6085.0,,6085.0,336458.0,,,
March 2021,9202.0,,9202.0,-183664.0,,,
June 2021,9045.0,,9045.0,390364.0,615.0,615.0,
September 2021,36920.0,,36920.0,-74565.0,159.0,159.0,
December 2021,6937.0,,6937.0,-253578.0,194337.0,178151.0,
March 2022,18578.0,,18578.0,58055.0,129062.0,100418.0,
