,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2016,71500000.0,31000000.0,,
June 2016,71500000.0,31000000.0,,
September 2016,71500000.0,31000000.0,,
December 2016,71500000.0,31000000.0,,
March 2017,79500000.0,15000000.0,,
June 2017,79500000.0,48000000.0,,
September 2017,82000000.0,53000000.0,,
December 2017,71000000.0,44000000.0,1416000000.0,741000000.0
March 2018,81000000.0,13000000.0,,
June 2018,87000000.0,45000000.0,,
September 2018,90000000.0,49000000.0,1065000000.0,361000000.0
December 2018,80000000.0,18000000.0,1041000000.0,330000000.0
March 2019,89000000.0,13000000.0,1097000000.0,369000000.0
June 2019,104000000.0,60000000.0,1179000000.0,448000000.0
September 2019,104000000.0,61000000.0,1217000000.0,489000000.0
December 2019,95000000.0,19000000.0,1250000000.0,461000000.0
March 2020,105000000.0,13000000.0,1291000000.0,510000000.0
June 2020,125000000.0,49000000.0,1361000000.0,577000000.0
September 2020,129000000.0,49000000.0,1407000000.0,624000000.0
December 2020,108000000.0,1000000.0,1405000000.0,626000000.0
March 2021,118000000.0,5000000.0,1355000000.0,573000000.0
June 2021,136000000.0,40000000.0,1135000000.0,356000000.0
September 2021,138000000.0,76000000.0,1161000000.0,385000000.0
December 2021,119000000.0,7000000.0,1069000000.0,295000000.0
March 2022,125000000.0,2000000.0,1058000000.0,282000000.0
June 2022,140000000.0,33000000.0,1076000000.0,310000000.0
