,NetIncomeLoss
September 2006,-4325.0
December 2006,-4866.75
March 2007,-4866.75
June 2007,-4866.75
September 2007,-4866.75
December 2007,-9123.25
March 2008,-9123.25
June 2008,-9123.25
September 2008,-9123.25
December 2008,-6290.75
March 2009,-6290.75
June 2009,-6290.75
September 2009,-6290.75
December 2009,-6082.0
March 2010,-6082.0
June 2010,-6082.0
September 2010,-6082.0
December 2010,-6284.25
March 2011,-6284.25
June 2011,-6284.25
September 2011,-6284.25
