,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2015,8113.0,10423.0,,,
June 2015,8113.0,10423.0,,,
September 2015,30769.0,11671.0,,,
December 2015,45039.0,-29664.0,121397.0,99799.0,21598.0
March 2016,3389.0,13694.0,,,
June 2016,6600.0,510.0,,,
September 2016,37622.0,-21362.0,113177.0,95011.0,18166.0
December 2016,44423.0,10011.0,111114.0,94092.0,17022.0
March 2017,24459.0,-12290.0,102296.0,86418.0,
June 2017,37556.0,-18748.0,73239.0,58506.0,
September 2017,32854.0,-27240.0,44136.0,30546.0,
December 2017,28174.0,-18174.0,28562.0,16116.0,
March 2018,13496.0,-8296.0,27467.0,16165.0,
June 2018,16756.0,2744.0,41361.0,31204.0,
September 2018,579574.0,-565324.0,84587.0,26406.0,
December 2018,29964.0,-29964.0,104872.0,50335.0,
March 2019,12602.0,-7602.0,100320.0,49427.0,
June 2019,106848.0,-293048.0,125452.0,78203.0,
September 2019,228109.0,-700369.0,229538.0,105849.0,
