,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2010,4898000.0,,
June 2010,4978000.0,,
September 2010,4526000.0,,
December 2010,4122000.0,79561000.0,41288000.0
March 2011,4821000.0,,
June 2011,5058000.0,75871000.0,41437000.0
September 2011,4937000.0,76275000.0,39910000.0
December 2011,3666000.0,75871000.0,44838000.0
March 2012,5291000.0,71545000.0,40527000.0
June 2012,4991000.0,71545000.0,40072000.0
September 2012,4801000.0,71545000.0,41061000.0
December 2012,3363000.0,71545000.0,42173000.0
March 2013,4863000.0,71088000.0,42052000.0
June 2013,4655000.0,71962000.0,42974000.0
September 2013,4460000.0,71962000.0,41670000.0
December 2013,3883000.0,71962000.0,43234000.0
March 2014,5046000.0,72893000.0,44124000.0
June 2014,4701000.0,75112000.0,45543000.0
September 2014,4567000.0,71801000.0,44153000.0
December 2014,4662000.0,71801000.0,41325000.0
March 2015,5104000.0,75755000.0,42992000.0
June 2015,5433000.0,72884000.0,42295000.0
September 2015,5464000.0,77630000.0,47167000.0
December 2015,4865000.0,75755000.0,45116000.0
March 2016,5716000.0,78008000.0,44774000.0
June 2016,6163000.0,78008000.0,45884000.0
September 2016,5527000.0,78008000.0,45492000.0
December 2016,5745000.0,78008000.0,45883000.0
March 2017,6004000.0,82489000.0,48415000.0
June 2017,5845000.0,82489000.0,51767000.0
September 2017,5361000.0,82489000.0,50197000.0
December 2017,5433000.0,82489000.0,47051000.0
March 2018,5190000.0,75703000.0,49337000.0
June 2018,4649000.0,75703000.0,50343000.0
September 2018,7006000.0,75703000.0,51604000.0
December 2018,5834000.0,75703000.0,47342000.0
March 2019,6792000.0,89983000.0,71397000.0
June 2019,9096000.0,85612000.0,45292000.0
September 2019,8102000.0,92496000.0,48018000.0
December 2019,8172000.0,89983000.0,46290000.0
March 2020,7778000.0,88187000.0,46174000.0
