,OperatingExpenses,Assets
March 2009,1232602.5,
June 2009,1232602.5,
September 2009,1232602.5,
December 2009,1232602.5,
March 2010,1317179.0,
June 2010,1316448.0,
September 2010,1368562.0,
December 2010,3122172.0,258918312.0
March 2011,1511845.0,
June 2011,1542224.0,255778221.0
September 2011,1506420.0,249421102.0
December 2011,1420609.0,234879250.0
March 2012,1333473.0,212576865.0
June 2012,1408362.0,182672894.0
September 2012,1158748.0,172188248.0
December 2012,1048022.0,154050850.0
March 2013,957194.0,143353303.0
June 2013,887683.0,125489115.0
September 2013,791008.0,109232785.0
December 2013,715243.0,99784514.0
March 2014,547846.0,80010018.0
June 2014,486929.0,71550850.0
September 2014,517838.0,74719967.0
December 2014,1600373.0,77843044.0
March 2015,1514629.0,80039282.0
June 2015,-146723.0,38114967.0
September 2015,338041.0,41509582.0
December 2015,340158.0,38265194.0
March 2016,618741.0,22777086.0
June 2016,240911.0,22436075.0
