,OperatingExpenses,NetIncomeLoss
March 2010,967.4,-967.4
June 2010,967.4,-967.4
September 2010,967.4,-967.4
December 2010,967.4,-967.4
March 2011,967.4,-967.4
June 2011,3270.0,-3270.0
