,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2008,48539500.0,37177000.0,,
June 2008,48539500.0,37177000.0,,
September 2008,48539500.0,37177000.0,,
December 2008,48539500.0,37177000.0,1759298000.0,
March 2009,50731000.0,40655000.0,,
June 2009,53047000.0,43902000.0,,
September 2009,54312000.0,46526000.0,,
December 2009,58821000.0,44608000.0,2182803000.0,246540000.0
March 2010,62470000.0,48119000.0,,
June 2010,63564000.0,53094000.0,2300988000.0,261060000.0
September 2010,65033000.0,56686000.0,2434286000.0,313141000.0
December 2010,70393000.0,49980000.0,2639023000.0,368688000.0
March 2011,69972000.0,55674000.0,2643637000.0,337663000.0
June 2011,72261000.0,55542000.0,2965596000.0,371647000.0
September 2011,72582000.0,59247000.0,3155508000.0,384842000.0
December 2011,96707000.0,64288000.0,3177090000.0,390596000.0
March 2012,81915000.0,64857000.0,3275234000.0,427078000.0
June 2012,84365000.0,67593000.0,3341654000.0,436128000.0
September 2012,92966000.0,65477000.0,3411596000.0,417385000.0
December 2012,97571000.0,70069000.0,3546738000.0,441286000.0
March 2013,91046000.0,74617000.0,3542211000.0,437955000.0
June 2013,94845000.0,78044000.0,3618425000.0,467765000.0
September 2013,96689000.0,80547000.0,3845129000.0,527972000.0
December 2013,108030000.0,78164000.0,3882797000.0,535089000.0
March 2014,112180000.0,79149000.0,3865579000.0,502886000.0
June 2014,117547000.0,81936000.0,4437281000.0,566875000.0
September 2014,125603000.0,82845000.0,4445634000.0,592677000.0
December 2014,134607000.0,82526000.0,4401722000.0,580216000.0
March 2015,141363000.0,28940000.0,4383514000.0,596063000.0
June 2015,181752000.0,60449000.0,4526944000.0,660193000.0
September 2015,185932000.0,69449000.0,5176457000.0,1319465000.0
December 2015,258153000.0,78876000.0,7065200000.0,761828000.0
March 2016,202488000.0,76800000.0,7112544000.0,757358000.0
June 2016,222378000.0,46034000.0,7146368000.0,770362000.0
September 2016,210348000.0,64800000.0,7057264000.0,773938000.0
December 2016,268965000.0,18744000.0,6980061000.0,773618000.0
March 2017,218841000.0,58200000.0,6996856000.0,759924000.0
June 2017,574000000.0,-144000000.0,7037497000.0,796114000.0
September 2017,237815000.0,39038000.0,7016362000.0,794706000.0
December 2017,439444000.0,89200000.0,6988300000.0,813400000.0
March 2018,304400000.0,22500000.0,7015700000.0,810600000.0
June 2018,290900000.0,27700000.0,6914600000.0,813300000.0
September 2018,267200000.0,23500000.0,6902900000.0,803100000.0
December 2018,303100000.0,-318400000.0,6455500000.0,747300000.0
March 2019,280400000.0,-37800000.0,6850700000.0,801600000.0
June 2019,277300000.0,-30500000.0,6869700000.0,819100000.0
September 2019,246600000.0,-59200000.0,6676300000.0,750500000.0
December 2019,250800000.0,-219300000.0,6437000000.0,706600000.0
March 2020,258700000.0,-20100000.0,6353200000.0,1203200000.0
June 2020,201000000.0,-4500000.0,5685300000.0,592600000.0
September 2020,219000000.0,-16350000.0,5633200000.0,565700000.0
December 2020,218900000.0,-16350000.0,5581900000.0,552500000.0
March 2021,202300000.0,,5531400000.0,537200000.0
June 2021,213500000.0,,5517100000.0,548400000.0
September 2021,279400000.0,,5469500000.0,570200000.0
December 2021,251400000.0,,5473100000.0,575500000.0
March 2022,238600000.0,,5477100000.0,613500000.0
June 2022,222400000.0,,5408000000.0,596900000.0
