,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2017,6175557.0,-9836746.0,,
June 2017,5257747.0,-8290999.0,,
September 2017,6532940.0,-19236614.0,,
December 2017,6787632.0,8210119.0,14843602.0,5484618.0
March 2018,7626701.0,-27508187.0,,
June 2018,5917702.0,-6268924.0,20782630.0,9533668.0
September 2018,7156618.0,-9673012.0,57230383.0,47838599.0
December 2018,7998555.0,-9685736.0,49418258.0,40026599.0
March 2019,10664302.0,-13766790.0,73719913.0,61123210.0
June 2019,10723591.0,-5901165.0,64711142.0,53048166.0
September 2019,10942561.0,-13423059.0,52238655.0,40736697.0
December 2019,8160904.0,-14492441.0,68842067.0,56386629.0
March 2020,10822924.0,-14791479.0,52779108.0,41012842.0
June 2020,8490418.0,-13916101.0,35434519.0,24336465.0
September 2020,7660979.0,-14968680.0,91111135.0,80646372.0
