,OperatingExpenses,ResearchAndDevelopmentExpense,Assets,AssetsCurrent
June 2008,29490500.0,2161000.0,,
September 2008,29490500.0,2161000.0,,
December 2008,29490500.0,2161000.0,,
March 2009,29490500.0,2161000.0,,
June 2009,21558000.0,1697000.0,,
September 2009,16295000.0,1850000.0,,
December 2009,18498000.0,2235000.0,,
March 2010,18416000.0,2322000.0,,
June 2010,18700000.0,2146000.0,,
September 2010,18980000.0,2436000.0,,
December 2010,20275000.0,2513000.0,,
March 2011,21619000.0,2979000.0,,
June 2011,21961000.0,2656000.0,,
September 2011,20154000.0,2711000.0,,
December 2011,20082000.0,2712000.0,,
March 2012,22502000.0,2784000.0,,
June 2012,20559000.0,2211000.0,,
September 2012,21456000.0,3007000.0,,
December 2012,21868000.0,3213000.0,,
March 2013,21372000.0,3000000.0,,
June 2013,20674000.0,2946000.0,,
September 2013,21691000.0,2864000.0,,
