,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
December 2009,2248.0,-3579.0,,,
March 2010,5073.0,-5074.0,,,
June 2010,1235.0,-1234.0,,,
September 2010,13034.0,-13034.0,,,
December 2010,3495.0,-3495.0,584.0,584.0,
March 2011,114747.0,-8498.0,,,
June 2011,203170.0,-200669.0,116082.0,7441.0,108641.0
September 2011,471659.0,-471659.0,140659.0,7803.0,132856.0
December 2011,-45732.0,-290946.0,155016.0,19946.0,
March 2012,202236.0,-725592.0,251930.0,64596.0,
June 2012,459525.0,-784785.0,263648.0,30312.0,
September 2012,0.0,0.0,,,
December 2012,640133.0,-1930160.0,309456.0,4786.0,
