,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
September 2018,978.0,-978.0,,,
December 2018,0.0,0.0,,,
March 2019,0.0,0.0,,,
June 2019,-1956.0,0.0,,,
September 2019,-2476.0,-2476.0,5000.0,5000.0,0.0
December 2019,3427.0,573.0,,,
March 2020,1629.0,-1629.0,7916.0,3357.0,4559.0
June 2020,-11912.0,-1800.0,6287.0,2156.0,4131.0
September 2020,4541.0,-4541.0,31337.0,27634.0,3703.0
December 2020,,-23769.0,26796.0,23521.0,3275.0
March 2021,,-1790.0,15027.0,12180.0,2847.0
June 2021,,597.0,15037.0,12618.0,2419.0
September 2021,4212.0,-4212.0,7159.0,5169.0,1991.0
December 2021,,-1755.0,2722.0,1160.0,1562.0
March 2022,,-3305.0,2257.0,1123.0,1134.0
