,OperatingExpenses,NetIncomeLoss,Assets
March 2011,,-2718250.0,
June 2011,,-2718250.0,
September 2011,,-2718250.0,
December 2011,,-2718250.0,
March 2012,,1933333.3333333333,
June 2012,,1933333.3333333333,
September 2012,,1933333.3333333333,
December 2012,,-21600000.0,339916000.0
March 2013,7917000.0,-3816000.0,310498000.0
June 2013,1510000.0,-2484000.0,297316000.0
September 2013,4601000.0,-878000.0,273965000.0
December 2013,,7516000.0,267638000.0
March 2014,6214000.0,-3380000.0,274230000.0
June 2014,-15172000.0,17322000.0,250449000.0
September 2014,3020000.0,-1299000.0,168807000.0
December 2014,,-9573000.0,156139000.0
March 2015,-3751000.0,5501000.0,732630000.0
June 2015,,-73483000.0,717637000.0
September 2015,,-3919000.0,710224000.0
December 2015,,10068000.0,685060000.0
March 2016,,55550000.0,674117000.0
June 2016,,22409000.0,668347000.0
September 2016,,-16645000.0,661975000.0
December 2016,,140386000.0,736190000.0
March 2017,368750000.0,17789000.0,747631000.0
June 2017,368750000.0,-21324000.0,717027000.0
September 2017,368750000.0,38411000.0,732738000.0
December 2017,368750000.0,-8994000.0,614121000.0
March 2018,364000000.0,-5583000.0,608925000.0
June 2018,339000000.0,58000000.0,17190000000.0
September 2018,275000000.0,1020000000.0,17728000000.0
December 2018,432000000.0,-136000000.0,16973000000.0
March 2019,443000000.0,-186000000.0,17646000000.0
June 2019,492000000.0,-87000000.0,18405000000.0
September 2019,478000000.0,84000000.0,18478000000.0
December 2019,438000000.0,463000000.0,18305000000.0
March 2020,444000000.0,-168000000.0,17613000000.0
June 2020,419000000.0,73000000.0,17300000000.0
September 2020,455000000.0,209000000.0,21755000000.0
December 2020,513000000.0,191000000.0,24165000000.0
March 2021,469000000.0,561000000.0,24713000000.0
June 2021,425000000.0,439000000.0,23308000000.0
September 2021,402000000.0,299000000.0,21661000000.0
December 2021,366000000.0,155000000.0,14204000000.0
March 2022,338000000.0,,14490000000.0
June 2022,328000000.0,,12895000000.0
