,NetIncomeLoss,Assets
December 2009,15500.0,
March 2010,15500.0,
June 2010,607000.0,
September 2010,569000.0,620555000.0
December 2010,45000.0,
March 2011,188000.0,
June 2011,344000.0,629564000.0
September 2011,-461000.0,624856000.0
December 2011,462000.0,643637000.0
March 2012,574000.0,639391000.0
June 2012,368000.0,642370000.0
September 2012,396000.0,645099000.0
December 2012,639000.0,644013000.0
March 2013,303000.0,642295000.0
June 2013,436000.0,637922000.0
September 2013,442000.0,619041000.0
December 2013,202000.0,605901000.0
