,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent
March 2009,,740500.0,,
June 2009,,740500.0,,
September 2009,,740500.0,,
December 2009,,740500.0,,
March 2010,,5532000.0,,
June 2010,,692000.0,,
September 2010,,-1697000.0,,
December 2010,,-1896000.0,477197000.0,127820000.0
March 2011,98489000.0,-3601000.0,,
June 2011,100680000.0,-4630000.0,455991000.0,96530000.0
September 2011,,-13319000.0,503112000.0,105758000.0
December 2011,,-13286000.0,512485000.0,113177000.0
March 2012,130177000.0,-4596000.0,495995000.0,100753000.0
June 2012,126389000.0,-5311000.0,510037000.0,118299000.0
September 2012,,-97503000.0,422152000.0,120189000.0
