,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
December 2012,93750000.0,188000000.0,,
March 2013,93750000.0,188000000.0,,
June 2013,93750000.0,188000000.0,,
September 2013,93750000.0,188000000.0,,
December 2013,90000000.0,191000000.0,,
March 2014,89000000.0,199000000.0,,
June 2014,91000000.0,202000000.0,,
September 2014,91000000.0,198000000.0,,
December 2014,96000000.0,206000000.0,,
March 2015,96000000.0,192000000.0,,
June 2015,90000000.0,183000000.0,,
September 2015,105000000.0,206000000.0,,
December 2015,108000000.0,200000000.0,,
March 2016,108000000.0,207000000.0,,
June 2016,104000000.0,200000000.0,,
September 2016,105000000.0,211000000.0,,
December 2016,108000000.0,213000000.0,,
March 2017,119000000.0,256000000.0,,
June 2017,132000000.0,286000000.0,,
September 2017,139000000.0,294000000.0,,
December 2017,146000000.0,289000000.0,,
March 2018,160000000.0,305000000.0,,
June 2018,151000000.0,289000000.0,,
September 2018,150000000.0,302000000.0,,
December 2018,173000000.0,288000000.0,,
March 2019,171000000.0,300000000.0,,
June 2019,168000000.0,281000000.0,,
September 2019,176000000.0,286000000.0,,
December 2019,187000000.0,300000000.0,,
March 2020,166000000.0,251000000.0,,
June 2020,169000000.0,259000000.0,,
September 2020,193000000.0,287000000.0,,
December 2020,199000000.0,301000000.0,,
March 2021,209000000.0,297000000.0,,
June 2021,207000000.0,302000000.0,,
September 2021,196000000.0,295000000.0,,
December 2021,210000000.0,326000000.0,,
March 2022,210000000.0,319000000.0,,
June 2022,206000000.0,317000000.0,,
