,NetIncomeLoss,AssetsCurrent
December 2008,470235.5,
March 2009,470235.5,
June 2009,470235.5,
September 2009,470235.5,
December 2009,255874.0,
March 2010,255874.0,
June 2010,286512.0,
September 2010,144676.0,
December 2010,108084.0,
March 2011,173780.0,
June 2011,183477.0,
September 2011,141223.0,
December 2011,106767.0,
