,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2012,3372000.0,2320000.0,-2813750.0,,
June 2012,3372000.0,2320000.0,-2813750.0,,
September 2012,3372000.0,2320000.0,-2813750.0,,
December 2012,3372000.0,2320000.0,-2813750.0,8116000.0,7990000.0
March 2013,2415000.0,1490000.0,-2628000.0,,
June 2013,2141000.0,969000.0,-2223000.0,,
September 2013,1386000.0,703000.0,-1307000.0,,
December 2013,3454000.0,1363000.0,-3915000.0,32500000.0,32239000.0
March 2014,5115000.0,2615000.0,-10062000.0,31196000.0,30933000.0
June 2014,5749000.0,4083000.0,-3172000.0,26033000.0,25432000.0
September 2014,5535000.0,3848000.0,-5961000.0,44649000.0,44399000.0
December 2014,7609000.0,5277000.0,-12722000.0,37474000.0,37229000.0
March 2015,6776000.0,4187000.0,-2328000.0,34730000.0,34492000.0
June 2015,6545000.0,4260000.0,-1357000.0,28670000.0,28303000.0
September 2015,6729000.0,4528000.0,-5865000.0,48863000.0,48573000.0
December 2015,5847000.0,4051000.0,-5979000.0,43079000.0,42794000.0
March 2016,6889000.0,4428000.0,-6848000.0,36770000.0,36490000.0
June 2016,6346000.0,4131000.0,-6992000.0,30475000.0,30164000.0
September 2016,5664000.0,3534000.0,-5879000.0,24786000.0,24480000.0
December 2016,6687000.0,3848000.0,-6952000.0,19359000.0,18528000.0
March 2017,7742000.0,4041000.0,-5351000.0,25379000.0,24557000.0
June 2017,7626000.0,4044000.0,-8929000.0,18732000.0,17869000.0
September 2017,6394000.0,4184000.0,-8234000.0,104344000.0,103659000.0
December 2017,9563000.0,6669000.0,-5043000.0,104247000.0,103544000.0
March 2018,12850000.0,9477000.0,-17005000.0,232259000.0,231176000.0
June 2018,17971000.0,14397000.0,-17531000.0,218168000.0,216715000.0
September 2018,21129000.0,17853000.0,-18563000.0,203708000.0,202255000.0
December 2018,20555000.0,16397000.0,-19449000.0,186747000.0,181562000.0
March 2019,24251000.0,18588000.0,-23075000.0,274157000.0,270064000.0
June 2019,25648000.0,21119000.0,-24038000.0,253435000.0,249813000.0
September 2019,27707000.0,23193000.0,-26282000.0,231800000.0,227771000.0
December 2019,30544000.0,20937000.0,-29413000.0,205727000.0,202923000.0
March 2020,13927000.0,9509000.0,-13088000.0,188600000.0,185949000.0
June 2020,11152000.0,7942000.0,-10726000.0,176597000.0,174102000.0
September 2020,11650000.0,7743000.0,-11421000.0,168486000.0,166129000.0
December 2020,15873000.0,10688000.0,-15751000.0,153825000.0,151585000.0
March 2021,17618000.0,12382000.0,-17551000.0,136682000.0,133273000.0
June 2021,23266000.0,16745000.0,-23222000.0,117041000.0,113813000.0
September 2021,22189000.0,17010000.0,-22682000.0,122902000.0,119576000.0
December 2021,24509000.0,18405000.0,-26543000.0,202318000.0,191099000.0
March 2022,24502000.0,18415000.0,-27769000.0,200642000.0,192046000.0
June 2022,23769000.0,17891000.0,-27094000.0,177724000.0,166611000.0
