,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2008,,-17125000.0,,
June 2008,,-17125000.0,,
September 2008,,-17125000.0,,
December 2008,,-17125000.0,,
March 2009,1100000.0,3800000.0,,
June 2009,1100000.0,19600000.0,,
September 2009,1100000.0,23000000.0,,
December 2009,1100000.0,24100000.0,1085500000.0,300700000.0
March 2010,1225000.0,8800000.0,,
June 2010,1225000.0,-400000.0,1274800000.0,432600000.0
September 2010,1225000.0,5500000.0,1325700000.0,455800000.0
December 2010,1225000.0,-900000.0,1342400000.0,471400000.0
March 2011,1525000.0,11300000.0,1370800000.0,433100000.0
June 2011,1525000.0,4100000.0,1419800000.0,439700000.0
September 2011,1525000.0,4100000.0,1381300000.0,408100000.0
December 2011,1525000.0,6100000.0,1320600000.0,434500000.0
March 2012,1600000.0,26500000.0,1390300000.0,482200000.0
June 2012,1600000.0,21000000.0,1661400000.0,722500000.0
September 2012,1600000.0,29200000.0,1694300000.0,755700000.0
December 2012,1600000.0,9100000.0,1752500000.0,741700000.0
March 2013,1950000.0,33500000.0,1764400000.0,757500000.0
June 2013,1950000.0,18600000.0,1739700000.0,736300000.0
September 2013,1950000.0,25400000.0,1792000000.0,752600000.0
December 2013,1950000.0,27300000.0,1770900000.0,690800000.0
March 2014,2225000.0,15800000.0,1766000000.0,677000000.0
June 2014,2225000.0,24500000.0,1772600000.0,769100000.0
September 2014,2225000.0,15900000.0,1816300000.0,822900000.0
December 2014,2225000.0,15600000.0,1743700000.0,825200000.0
March 2015,2375000.0,-292200000.0,1534900000.0,823200000.0
June 2015,2375000.0,20200000.0,1251300000.0,546500000.0
September 2015,2375000.0,22100000.0,1263100000.0,564500000.0
December 2015,2375000.0,13300000.0,1246900000.0,501600000.0
March 2016,2550000.0,26300000.0,1236600000.0,447800000.0
June 2016,2550000.0,26000000.0,1421600000.0,640400000.0
September 2016,2550000.0,14900000.0,1433400000.0,657900000.0
December 2016,2550000.0,24500000.0,1443500000.0,655900000.0
March 2017,2500000.0,36000000.0,1413100000.0,636200000.0
June 2017,2500000.0,4700000.0,1386700000.0,615800000.0
September 2017,2500000.0,19900000.0,1422700000.0,662600000.0
December 2017,2500000.0,-15200000.0,1385200000.0,656600000.0
March 2018,2450000.0,25700000.0,1405400000.0,682300000.0
June 2018,2450000.0,20700000.0,1423800000.0,704800000.0
September 2018,2450000.0,21700000.0,1426000000.0,673000000.0
December 2018,2450000.0,23600000.0,1419300000.0,656600000.0
March 2019,2625000.0,28000000.0,1447800000.0,671100000.0
June 2019,2625000.0,19200000.0,1422100000.0,649700000.0
September 2019,2625000.0,25400000.0,1426300000.0,668600000.0
December 2019,2625000.0,-10600000.0,1526200000.0,779800000.0
March 2020,2275000.0,29100000.0,1553100000.0,806400000.0
June 2020,2275000.0,-6600000.0,1848400000.0,1107700000.0
September 2020,2275000.0,400000.0,1847000000.0,1109600000.0
December 2020,2275000.0,5900000.0,1864700000.0,1121400000.0
March 2021,2325000.0,4500000.0,2152800000.0,930800000.0
June 2021,2325000.0,-22400000.0,2414500000.0,1200600000.0
September 2021,2325000.0,-2300000.0,2437200000.0,1223300000.0
December 2021,2325000.0,1700000.0,2422400000.0,1205400000.0
March 2022,,8100000.0,2541400000.0,1321400000.0
June 2022,,-13800000.0,2461700000.0,1245900000.0
