,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets
March 2008,,21126750.0,
June 2008,,21126750.0,
September 2008,,21126750.0,
December 2008,,21126750.0,
March 2009,,25478000.0,
June 2009,,26510000.0,
September 2009,,29322000.0,
December 2009,,30569000.0,8850400000.0
March 2010,,30998000.0,
June 2010,,31746000.0,9608822000.0
September 2010,,32166000.0,9238502000.0
December 2010,,32798000.0,9476572000.0
March 2011,,33878000.0,9722947000.0
June 2011,,35092000.0,9657147000.0
September 2011,,36373000.0,9567087000.0
December 2011,,36406000.0,9822671000.0
March 2012,544750.0,36487000.0,10889955000.0
June 2012,544750.0,36972000.0,10737351000.0
September 2012,544750.0,46176000.0,13712119000.0
December 2012,544750.0,48266000.0,14583573000.0
March 2013,907250.0,49305000.0,15081314000.0
June 2013,907250.0,53844000.0,16270718000.0
September 2013,907250.0,55278000.0,16054279000.0
December 2013,907250.0,62971000.0,18642028000.0
March 2014,1212000.0,67137000.0,18913133000.0
June 2014,1212000.0,75506000.0,21248106000.0
September 2014,1212000.0,76570000.0,21117314000.0
December 2014,1212000.0,78228000.0,21507733000.0
March 2015,1108500.0,73641000.0,21606859000.0
June 2015,1108500.0,71932000.0,21686287000.0
September 2015,1108500.0,70598000.0,21567236000.0
December 2015,1108500.0,70475000.0,22037216000.0
March 2016,1113750.0,68951000.0,21978345000.0
June 2016,1113750.0,68071000.0,21796310000.0
September 2016,1113750.0,68651000.0,21404044000.0
December 2016,1113750.0,68793000.0,22331072000.0
March 2017,1099500.0,68565000.0,22477419000.0
June 2017,1099500.0,68554000.0,22296543000.0
September 2017,1099500.0,67908000.0,22143263000.0
December 2017,1099500.0,67138000.0,22587292000.0
March 2018,1164500.0,74361000.0,22472314000.0
June 2018,1164500.0,81597000.0,22570740000.0
September 2018,1164500.0,82523000.0,22612583000.0
December 2018,1164500.0,83331000.0,22693402000.0
March 2019,1328500.0,82402000.0,22354241000.0
June 2019,1328500.0,82258000.0,22375221000.0
September 2019,1328500.0,81758000.0,22092817000.0
December 2019,1328500.0,86134000.0,32185708000.0
March 2020,1329250.0,130848000.0,31743499000.0
June 2020,1329250.0,130901000.0,32966649000.0
September 2020,1329250.0,130064000.0,33197599000.0
December 2020,1329250.0,137091000.0,34059275000.0
March 2021,1310750.0,133309000.0,35558418000.0
June 2021,1310750.0,130611000.0,36099924000.0
September 2021,1310750.0,128590000.0,36512119000.0
December 2021,1310750.0,126787000.0,37833970000.0
March 2022,,122326000.0,38271186000.0
June 2022,,128490000.0,37387256000.0
