,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2009,15106500.0,8331250.0,
June 2009,15106500.0,8331250.0,
September 2009,15106500.0,8331250.0,
December 2009,15106500.0,8331250.0,
March 2010,15411000.0,6648000.0,
June 2010,16949000.0,7388000.0,
September 2010,16569000.0,9700000.0,
December 2010,16650000.0,12743000.0,813562000.0
March 2011,18622000.0,9614000.0,832032000.0
June 2011,18624000.0,11406000.0,866700000.0
September 2011,19992000.0,15355000.0,895144000.0
December 2011,20889000.0,13227000.0,918929000.0
March 2012,21361000.0,9911000.0,934282000.0
June 2012,21163000.0,10479000.0,963649000.0
September 2012,20848000.0,12451000.0,988254000.0
December 2012,22906000.0,11936000.0,972446000.0
March 2013,21638000.0,9215000.0,967131000.0
June 2013,21792000.0,9848000.0,985262000.0
September 2013,22383000.0,12573000.0,1009435000.0
December 2013,22952000.0,11761000.0,1019557000.0
March 2014,23411000.0,7871000.0,1021613000.0
June 2014,23840000.0,10205000.0,1051764000.0
September 2014,24200000.0,13746000.0,1089130000.0
December 2014,25408000.0,13887000.0,1116407000.0
March 2015,25212000.0,6846000.0,1112056000.0
June 2015,24453000.0,8490000.0,1132750000.0
September 2015,24996000.0,13616000.0,1149095000.0
December 2015,25289000.0,11518000.0,1152549000.0
March 2016,26397000.0,6566000.0,1132355000.0
June 2016,25683000.0,9079000.0,1148018000.0
September 2016,26201000.0,12872000.0,1144923000.0
December 2016,26627000.0,9734000.0,1128276000.0
March 2017,27848000.0,7973000.0,1130734000.0
June 2017,27365000.0,11461000.0,1150123000.0
September 2017,28489000.0,16762000.0,1156415000.0
December 2017,27903000.0,117724000.0,1147854000.0
March 2018,28128000.0,14466000.0,1148858000.0
June 2018,29479000.0,15912000.0,1180209000.0
September 2018,28226000.0,24779000.0,1201799000.0
December 2018,29937000.0,24249000.0,1217316000.0
March 2019,29695000.0,18449000.0,1239633000.0
June 2019,30815000.0,19488000.0,1280249000.0
September 2019,31534000.0,32468000.0,1306223000.0
December 2019,32749000.0,26401000.0,1309875000.0
March 2020,31954000.0,17398000.0,1314429000.0
June 2020,30540000.0,22549000.0,1312342000.0
September 2020,30871000.0,28101000.0,1295380000.0
December 2020,29628000.0,31175000.0,1275744000.0
March 2021,33137000.0,17398000.0,1272423000.0
June 2021,36261000.0,20608000.0,1596027000.0
September 2021,39907000.0,23252000.0,1610353000.0
December 2021,39295000.0,28447000.0,1595926000.0
March 2022,39127000.0,18793000.0,1603240000.0
June 2022,40788000.0,26137000.0,1645384000.0
