,NetIncomeLoss,Assets,AssetsCurrent
March 2014,1950250.0,,
June 2014,1950250.0,,
September 2014,1950250.0,,
December 2014,1950250.0,,
March 2015,6199000.0,,
June 2015,1430000.0,,
September 2015,-5713000.0,,
December 2015,-579000.0,2294856000.0,638385000.0
March 2016,-5002000.0,,
June 2016,-245061000.0,2102359000.0,703819000.0
September 2016,-6959000.0,2099200000.0,712881000.0
December 2016,-90666000.0,1994370000.0,662971000.0
March 2017,-27561000.0,2081710000.0,739511000.0
June 2017,-30630000.0,1987501000.0,664846000.0
September 2017,-29191000.0,1938195000.0,637713000.0
December 2017,-26808000.0,1828841000.0,576142000.0
March 2018,-98968000.0,1751255000.0,589511000.0
June 2018,-26606000.0,1664583000.0,517077000.0
September 2018,-53940000.0,1613129000.0,514810000.0
December 2018,-20734000.0,1574094000.0,490988000.0
March 2019,-39006000.0,1647347000.0,492204000.0
June 2019,-16873000.0,1568226000.0,462343000.0
September 2019,-75928000.0,1521768000.0,447960000.0
December 2019,-32120000.0,1491885000.0,409043000.0
March 2020,-79772000.0,1487361000.0,423689000.0
