,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2009,41291500.0,,
June 2009,41291500.0,,
September 2009,41291500.0,,
December 2009,41291500.0,,
March 2010,48450000.0,,
June 2010,44426000.0,,
September 2010,47243000.0,,
December 2010,47112000.0,,
March 2011,51072000.0,,
June 2011,50688000.0,,
September 2011,53059000.0,,
December 2011,52206000.0,,
March 2012,52669000.0,,
June 2012,50932000.0,,
September 2012,51132000.0,,
December 2012,52678000.0,,
March 2013,51908000.0,,
June 2013,51920000.0,,
September 2013,52148000.0,,
December 2013,50170000.0,,
March 2014,53975000.0,,
June 2014,53197000.0,,
September 2014,56354000.0,,
December 2014,57515000.0,,
March 2015,55812000.0,,
June 2015,55703000.0,,
September 2015,55616000.0,,
December 2015,57087000.0,,
March 2016,58331000.0,,
June 2016,56105000.0,,
September 2016,57637000.0,,
December 2016,58593000.0,,
March 2017,60487000.0,,
June 2017,59834000.0,,
September 2017,59834000.0,,
December 2017,65623000.0,,
March 2018,63005000.0,,
June 2018,62285000.0,,
September 2018,61189000.0,,
December 2018,61459000.0,,
March 2019,63447000.0,,
June 2019,62989000.0,,
September 2019,65539000.0,,
December 2019,67654000.0,,
March 2020,54076000.0,,
June 2020,57623000.0,,
September 2020,69230000.0,,
December 2020,79269000.0,,
March 2021,77892000.0,,
June 2021,75383000.0,,
September 2021,74784000.0,,
December 2021,79563000.0,,
March 2022,71026000.0,,
June 2022,68481000.0,,
September 2022,68481000.0,,
