,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2018,3871000.0,-3618750.0,,
June 2018,3871000.0,-3618750.0,,
September 2018,3871000.0,-3618750.0,,
December 2018,3871000.0,-3618750.0,,
March 2019,6258250.0,-12173000.0,,
June 2019,6258250.0,-12173000.0,,
September 2019,6258250.0,-12173000.0,,
December 2019,6258250.0,-12173000.0,151988000.0,136019000.0
March 2020,7076000.0,-10987000.0,,
June 2020,7067000.0,21120000.0,,
September 2020,8083000.0,10773000.0,,
December 2020,7799000.0,-3229000.0,285434000.0,269977000.0
March 2021,18800000.0,-74141000.0,597508000.0,585983000.0
June 2021,12449000.0,-3005000.0,599484000.0,588905000.0
September 2021,12325000.0,-7197000.0,608083000.0,598368000.0
December 2021,15131000.0,-14784000.0,608673000.0,591275000.0
March 2022,16056000.0,-14022000.0,634109000.0,608979000.0
June 2022,18212000.0,-22879000.0,614988000.0,591125000.0
